Date LHUR PUNEW FYFF FYGM3 FYGT1 EXRUK GDPJP
1959:01 5.83333333333 28.99333333333 2.8 2.8 3.61 281.271 14.3195
1959:02 5.1 29.04333333333 3.39 3.21 4.07 281.254 14.8032
1959:03 5.26666666667 29.19333333333 3.76 4.04 5 280.37 15.5764
1959:04 5.6 29.37 3.99 4.49 5.14 279.845 15.4222
1960:01 5.13333333333 29.39666666667 3.84 3.31 4.02 280.586 16.5126
1960:02 5.23333333333 29.57333333333 3.32 2.46 3.36 280.268 16.5398
1960:03 5.53333333333 29.59 2.6 2.48 3.07 281.271 17.1065
1960:04 6.26666666667 29.78 1.98 2.25 2.86 280.737 17.8172
1961:01 6.8 29.84 2.02 2.39 2.88 279.75 18.3132
1961:02 7 29.83 1.73 2.33 3.06 278.98 18.662
1961:03 6.76666666667 29.94666666667 1.88 2.28 3.06 281.22 18.9993
1961:04 6.2 29.99 2.33 2.6 3.18 280.96 19.935
1962:01 5.63333333333 30.10666666667 2.7 2.72 3.06 281.53 20.2105
1962:02 5.53333333333 30.22 2.68 2.73 3.03 280.83 20.4924
1962:03 5.56666666667 30.30666666667 2.9 2.78 3.06 280.09 20.7547
1962:04 5.53333333333 30.38 2.93 2.87 3.01 280.33 21.1522
1963:01 5.76666666667 30.47666666667 2.98 2.89 3.03 280.06 21.4323
1963:02 5.73333333333 30.53333333333 2.99 2.99 3.2 280.02 22.0484
1963:03 5.5 30.72 3.48 3.38 3.57 279.77 22.663
1963:04 5.56666666667 30.80333333333 3.38 3.52 3.81 279.65 23.4139
1964:01 5.46666666667 30.93 3.43 3.54 3.91 279.81 24.2031
1964:02 5.2 30.98 3.5 3.48 3.83 279.42 24.889
1964:03 5 31.05 3.45 3.53 3.84 278.34 25.2485
1964:04 4.96666666667 31.19333333333 3.85 3.84 4.02 279.06 25.4727
1965:01 4.9 31.29 4.04 3.93 4.06 279.24 25.7379
1965:02 4.66666666667 31.49 4.04 3.8 3.99 279.23 26.1416
1965:03 4.36666666667 31.58333333333 4.01 3.92 4.2 279.67 26.7008
1965:04 4.1 31.75 4.32 4.37 4.72 280.21 27.0065
1966:01 3.86666666667 32.04666666667 4.65 4.58 4.97 279.52 27.7891
1966:02 3.83333333333 32.33666666667 5.17 4.5 4.97 278.98 28.9819
1966:03 3.76666666667 32.61666666667 5.4 5.36 5.82 278.93 29.6534
1966:04 3.7 32.88333333333 5.4 4.96 5.2 279.01 30.1904
1967:01 3.83333333333 32.96666666667 4.53 4.26 4.35 279.63 31.003
1967:02 3.83333333333 33.16666666667 3.98 3.53 4.48 279.12 31.8183
1967:03 3.8 33.5 4 4.42 5.24 278.37 32.9275
1967:04 3.9 33.86666666667 4.51 4.96 5.71 240.63 33.5658
1968:01 3.73333333333 34.2 5.05 5.16 5.58 239.97 34.339
1968:02 3.56666666667 34.53333333333 6.07 5.52 5.98 238.46 35.5893
1968:03 3.53333333333 35 5.78 5.2 5.44 238.74 36.4165
1968:04 3.4 35.43333333333 6.02 5.94 6.19 238.42 38.7207
1969:01 3.4 35.86666666667 6.79 6.01 6.34 239.17 38.9211
1969:02 3.43333333333 36.43333333333 8.9 6.43 7.04 238.95 40.019
1969:03 3.56666666667 36.93333333333 9.15 7.08 7.82 238.4 40.9396
1969:04 3.56666666667 37.5 8.97 7.81 8.17 239.73 42.6926
1970:01 4.16666666667 38.1 7.76 6.63 6.97 240.58 43.9338
1970:02 4.76666666667 38.63333333333 7.6 6.67 7.55 239.77 44.3103
1970:03 5.16666666667 39.03333333333 6.29 6.12 6.73 238.53 45.5504
1970:04 5.83333333333 39.6 4.9 4.87 5 239.06 45.5102
1971:01 5.93333333333 39.93333333333 3.71 3.38 3.69 241.87 45.6941
1971:02 5.9 40.3 4.91 4.74 5.64 241.87 46.4166
1971:03 6.03333333333 40.7 5.55 4.69 5.41 246.94 47.2102
1971:04 5.93333333333 41 4.14 4.01 4.61 252.66 47.6719
1972:01 5.76666666667 41.33333333333 3.83 3.73 4.67 261.81 48.9969
1972:02 5.7 41.6 4.46 3.91 4.93 256.91 49.9872
1972:03 5.56666666667 41.93333333333 4.87 4.66 5.52 244.1 50.9713
1972:04 5.36666666667 42.36666666667 5.33 5.07 5.52 234.48 52.2425
1973:01 4.93333333333 43.03333333333 7.09 6.09 6.85 247.24 53.9043
1973:02 4.93333333333 43.93333333333 8.49 7.19 7.31 257.62 54.4643
1973:03 4.8 44.8 10.78 8.29 8.31 241.83 54.4522
1973:04 4.76666666667 45.93333333333 9.95 7.45 7.27 231.74 54.9244
1974:01 5.13333333333 47.3 9.35 7.96 7.76 234.06 53.5401
1974:02 5.2 48.56666666667 11.93 7.9 8.67 239.02 54.0039
1974:03 5.63333333333 49.93333333333 11.34 8.06 8.87 231.65 54.667
1974:04 6.6 51.46666666667 8.53 7.15 7.31 232.94 54.326
1975:01 8.26666666667 52.56666666667 5.54 5.49 6.11 241.8 54.2179
1975:02 8.86666666667 53.2 5.55 5.34 6.29 228.03 55.5512
1975:03 8.46666666667 54.26666666667 6.24 6.42 7.75 208.35 56.1426
1975:04 8.3 55.26666666667 5.2 5.44 6.6 202.21 56.771
1976:01 7.73333333333 55.9 4.84 5 6.21 194.28 57.2991
1976:02 7.56666666667 56.4 5.48 5.41 6.52 176.4 57.7307
1976:03 7.73333333333 57.3 5.25 5.08 5.84 172.72 58.455
1976:04 7.76666666667 58.13333333333 4.65 4.35 4.89 167.84 58.5833
1977:01 7.5 59.2 4.69 4.6 5.5 171.7408 60.0074
1977:02 7.13333333333 60.23333333333 5.39 5.02 5.8 171.914 60.4644
1977:03 6.9 61.06666666667 6.14 5.81 6.53 174.3139 60.8331
1977:04 6.66666666667 61.96666666667 6.56 6.07 6.96 185.4575 61.7063
1978:01 6.33333333333 63.03333333333 6.79 6.29 7.31 190.5467 62.7128
