ENTRY PPIOJ PWFSA FDD
1948:01 43.3 28.10000038 NA
1948:02 39 27.89962 6
1948:03 39 27.89962 0
1948:04 39 28 0
1948:05 39 28.20000076 0
1948:06 39 28.29924 0
1948:07 39 28.70000076 0
1948:08 39 29 0
1948:09 39 29 0
1948:10 39 28.89962 0
1948:11 39 28.70000076 0
1948:12 39 28.5 0
1949:01 37.3 28.29924 0
1949:02 37.3 28 0
1949:03 37.8 27.89962 0
1949:04 42.8 27.79924 0
1949:05 45.7 27.60000038 0
1949:06 45.7 27.5 0
1949:07 45.7 27.5 0
1949:08 45.7 27.5 0
1949:09 45.7 27.60000038 0
1949:10 45.7 27.5 0
1949:11 43.2 27.39962 0
1949:12 39.2 27.20000076 0
1950:01 43.6 27.20000076 0
1950:02 52.1 27.20000076 0
1950:03 46.6 27.20000076 0
1950:04 46.6 27.20000076 0
1950:05 46.6 27.29924 0
1950:06 46.6 27.39962 0
1950:07 46.6 28 0
1950:08 46.6 28.70000076 0
1950:09 46.6 29.10000038 0
1950:10 39.8 29.20000076 0
1950:11 41.6 29.5 0
1950:12 41.3 30 4
1951:01 41.3 30.5 2
1951:02 41.3 30.79924 1
1951:03 41.3 30.79924 0
1951:04 41.3 30.79924 0
1951:05 44.3 30.89962 0
1951:06 45.1 30.79924 0
1951:07 42.1 30.79924 0
1951:08 42.2 30.79924 0
1951:09 41.3 30.79924 0
1951:10 41.3 31 0
1951:11 36 31 0
1951:12 34.6 30.89962 0
1952:01 34.6 30.79924 0
1952:02 34.6 30.70000076 0
1952:03 34.6 30.79924 0
1952:04 34.6 30.60000038 0
1952:05 30.1 30.60000038 0
1952:06 30.1 30.5 0
1952:07 34.6 30.79924 0
1952:08 34.6 30.79924 0
1952:09 34.6 30.79924 0
1952:10 34.6 30.60000038 0
1952:11 34.6 30.5 0
1952:12 30.1 30.20000076 0
1953:01 32.2 30.29924 0
1953:02 32.2 30.20000076 0
1953:03 32.2 30.20000076 0
1953:04 34.6 30.10000038 0
1953:05 34.6 30.20000076 0
1953:06 36.7 30.20000076 0
1953:07 39.2 30.5 0
1953:08 41.7 30.5 0
1953:09 41.7 30.60000038 0
1953:10 41.7 30.5 0
1953:11 41.7 30.39962 0
1953:12 34.8 30.29924 0
1954:01 34.8 30.5 0
1954:02 29.3 30.39962 0
1954:03 26.3 30.29924 0
1954:04 29.7 30.5 0
1954:05 36 30.5 0
1954:06 36 30.29924 0
1954:07 33.9 30.5 0
1954:08 33.9 30.5 0
1954:09 33.9 30.39962 0
1954:10 32.7 30.29924 0
1954:11 31 30.39962 0
1954:12 31 30.29924 0
1955:01 30.6 30.39962 3
1955:02 30.6 30.5 0
1955:03 32.9 30.29924 1
1955:04 33.1 30.39962 0
1955:05 33.1 30.29924 0
1955:06 33.1 30.39962 0
1955:07 35.2 30.39962 0
1955:08 35.2 30.5 0
1955:09 35.2 30.60000038 0
1955:10 35.2 30.60000038 0
1955:11 35.2 30.60000038 0
1955:12 35.2 30.60000038 0
1956:01 37.3 30.70000076 1
1956:02 42.2 30.79924 0
1956:03 37.3 30.89962 0
1956:04 37.3 31 0
1956:05 37.3 31.20000076 0
1956:06 39.4 31.29924 0
1956:07 39.4 31.29924 0
1956:08 39.4 31.39962 0
1956:09 35.2 31.70000076 0
1956:10 35.2 31.79924 0
1956:11 32.9 31.89962 0
1956:12 32.9 31.89962 0
1957:01 32.9 32.09847 0
1957:02 32.9 32.20000076 0
1957:03 32.9 32.09847 0
1957:04 32.9 32.29924 0
1957:05 28.7 32.29924 0
1957:06 28.7 32.40000153 0
1957:07 30.8 32.59847 0
1957:08 32.9 32.59847 0
1957:09 32.9 32.70000076 0
1957:10 32.9 32.70000076 0
1957:11 32.9 32.90000153 0
1957:12 42.3 33 0
1958:01 45.5 33.20000076 22
1958:02 45.5 33.20000076 3
1958:03 49.7 33.40000153 8
1958:04 51.8 33.20000076 0
1958:05 51.8 33.20000076 0
1958:06 56.1 33.20000076 0
1958:07 56.1 33.20000076 0
1958:08 56.1 33.20000076 0
1958:09 56.1 33.20000076 0
1958:10 56.1 33.20000076 0
1958:11 56.1 33.20000076 0
1958:12 56.1 33.09847 0
1959:01 45.5 33.20000076 0
1959:02 45.5 33.20000076 6
1959:03 45.5 33.20000076 0
1959:04 45.1 33.20000076 0
1959:05 50 33.20000076 0
1959:06 50 33.09847 0
1959:07 50 33.09847 0
1959:08 50 33 0
1959:09 50 33.40000153 0
1959:10 50 33.09847 0
1959:11 50 33 0
1959:12 39.8 33 0
1960:01 39.8 33.20000076 0
1960:02 39.8 33.09847 2
1960:03 39.8 33.40000153 0
1960:04 39.8 33.40000153 0
1960:05 39.8 33.29924 0
1960:06 39.8 33.29924 0
1960:07 39.8 33.5 0
1960:08 39.8 33.40000153 0
1960:09 42.2 33.40000153 0
1960:10 43.1 33.70000076 0
1960:11 43.1 33.70000076 0
1960:12 43.1 33.59847 0
1961:01 50.1 33.70000076 2
1961:02 50.1 33.70000076 3
1961:03 50.1 33.59847 0
