ID x y
  1  4.05515  14.00506                                                        
  2  3.68910  11.88694                                                        
  3  4.67636  15.84804                                                        
  4  5.13150  16.51717                                                        
  5  5.22632  14.55883                                                        
  6  6.94411  18.91454                                                        
  7  5.88311  15.56367                                                        
  8  7.43140  18.95697                                                        
  9  7.86438  21.16984                                                        
 10  9.34395  23.70920                                                        
 11 10.19623  26.51456                                                        
 12  9.78966  25.02122                                                        
 13 10.17995  24.67900                                                        
 14 10.83312  24.57805                                                        
 15 11.81897  27.53288                                                        
 16 11.37511  26.16876                                                        
 17 11.53529  25.97866                                                        
 18 13.02597  28.77978                                                        
 19 11.58644  27.00108                                                        
 20 11.10068  26.31299                                                        
 21 10.68853  23.90812                                                        
 22 12.57253  28.09266                                                        
 23 12.18582  27.59627                                                        
 24 12.54861  28.99814                                                        
 25 11.90363  27.25777                                                        
 26  9.97234  21.54126                                                        
 27 10.54740  24.70151                                                        
 28 11.67926  29.98875                                                        
 29 11.98507  28.83029                                                        
 30 13.21816  30.92882                                                        
 31 13.72933  33.13654                                                        
 32 13.48769  31.92837                                                        
 33 13.76630  32.16757                                                        
 34 15.26826  35.21054                                                        
 35 16.28732  36.53613                                                        
 36 14.79704  35.32862                                                        
 37 15.67722  36.95167                                                        
 38 15.20995  35.64065                                                        
 39 14.47047  33.83243                                                        
 40 15.12967  35.97180                                                        
 41 15.82567  37.06993                                                        
 42 16.76514  40.31979                                                        
 43 17.74528  42.41081                                                        
 44 18.78507  41.82210                                                        
 45 18.91286  41.57343                                                        
 46 17.84194  41.89816                                                        
 47 15.95132  36.40815                                                        
 48 16.60530  37.99717                                                        
 49 16.26907  39.21328                                                        
 50 15.34713  38.22750                                                        
 51 16.30314  39.87281                                                        
 52 15.83393  39.07015                                                        
 53 16.34960  38.82488                                                        
 54 17.22431  41.02295                                                        
 55 15.74125  40.33261                                                        
 56 14.15582  38.38574                                                        
 57 12.37387  34.24121                                                        
 58 13.39617  34.99200                                                        
 59 13.62914  34.66115                                                        
 60 14.19327  36.47538                                                        
 61 14.66475  38.15541                                                        
 62 14.83946  38.16863                                                        
 63 14.54166  36.70234                                                        
 64 13.90203  35.50128                                                        
 65 12.35184  30.94532                                                        
 66 11.94208  30.10700                                                        
 67 11.71361  29.89030                                                        
 68 10.66244  26.38155                                                        
 69 11.57819  28.98603                                                        
 70 11.79881  30.92539                                                        
 71 12.09863  30.58638                                                        
 72 13.59023  34.29289                                                        
 73 13.28985  32.15656                                                        
 74 14.54768  33.86830                                                        
 75 16.13601  37.14510                                                        
 76 13.99625  32.88388                                                        
 77 13.21461  31.34332                                                        
 78 14.41084  34.36881                                                        
 79 15.18385  35.96956                                                        
 80 15.41256  36.14701                                                        
 81 15.77089  37.06460                                                        
 82 15.19189  34.94625                                                        
 83 16.01985  36.38298                                                        
 84 16.65585  37.88554                                                        
 85 16.00135  36.18585                                                        
 86 15.92943  35.67232                                                        
 87 17.68266  38.44046                                                        
 88 18.32361  40.61162                                                        
 89 16.21054  35.27670                                                        
 90 17.44672  39.22223                                                        
 91 17.63212  38.74319                                                        
 92 16.79212  38.24741                                                        
 93 16.92086  38.20142                                                        
 94 16.76762  36.89593                                                        
 95 17.07588  36.60553                                                        
 96 18.33920  39.88735                                                        
 97 18.31563  39.64674                                                        
 98 17.42877  36.07956                                                        
 99 16.26015  34.86294                                                        
100 14.71308  29.09646                                                        
