ID lfp lnnlinc age educ nyc noc foreign
  1 0.0 10.787497 3.0  8.0 1.0 1.0 0.0
  2 1.0 10.524251 4.5  8.0 0.0 1.0 0.0
  3 0.0 10.968578 4.6  9.0 0.0 0.0 0.0
  4 0.0 11.104999 3.1 11.0 2.0 0.0 0.0
  5 0.0 11.108470 4.4 12.0 0.0 2.0 0.0
  6 1.0 11.028254 4.2 12.0 0.0 1.0 0.0
  7 0.0 11.454707 5.1  8.0 0.0 0.0 0.0
  8 1.0 10.490918 3.2  8.0 0.0 2.0 0.0
  9 0.0 10.624740 3.9 12.0 0.0 0.0 0.0
 10 0.0 10.486420 4.3 11.0 0.0 2.0 0.0
 11 0.0 10.660618 4.5 11.0 0.0 2.0 0.0
 12 0.0 10.467589 6.0 12.0 0.0 0.0 0.0
 13 0.0 11.229592 3.3 11.0 2.0 0.0 0.0
 14 0.0 11.906462 5.6 14.0 0.0 0.0 0.0
 15 0.0 11.501562 5.6 11.0 0.0 0.0 0.0
 16 0.0 11.293492 4.7 11.0 0.0 1.0 0.0
 17 0.0 10.861253 5.0  8.0 0.0 0.0 0.0
 18 1.0 11.844049 3.9 12.0 0.0 0.0 0.0
 19 0.0 11.048627 4.7  8.0 0.0 1.0 0.0
 20 1.0 10.957795 5.3 11.0 0.0 0.0 0.0
 21 0.0 10.860134 2.9 19.0 0.0 0.0 0.0
 22 1.0 11.108121 4.6 11.0 0.0 1.0 0.0
 23 0.0 10.848620 4.4  8.0 0.0 2.0 0.0
 24 0.0 10.482397 2.0 12.0 1.0 0.0 0.0
 25 1.0 10.484040 5.4  8.0 0.0 0.0 0.0
 26 1.0 10.601204 4.7  8.0 0.0 0.0 0.0
 27 0.0 10.540632 2.8  9.0 2.0 0.0 0.0
 28 0.0 11.224276 4.7  8.0 0.0 1.0 0.0
 29 1.0 10.841085 4.9 12.0 0.0 0.0 0.0
 30 0.0 10.566288 3.0 11.0 0.0 1.0 0.0
 31 0.0 11.769593 5.1 11.0 0.0 0.0 0.0
 32 0.0 10.667089 2.8 11.0 0.0 2.0 0.0
 33 0.0 10.624627 5.4 11.0 0.0 0.0 0.0
 34 0.0 10.537148 4.9  8.0 0.0 0.0 0.0
 35 0.0 11.135636 5.3 10.0 0.0 0.0 0.0
 36 0.0 10.315332 5.5  8.0 0.0 0.0 0.0
 37 0.0 10.372655 2.4 11.0 1.0 0.0 0.0
 38 0.0 11.507138 5.0  8.0 0.0 1.0 0.0
 39 1.0 11.156561 3.6 13.0 0.0 2.0 0.0
 40 0.0 10.452933 2.3  9.0 1.0 0.0 0.0
 41 1.0 11.106286 4.1 12.0 0.0 2.0 0.0
 42 0.0 10.657185 2.3 10.0 0.0 1.0 0.0
 43 0.0 10.518618 3.8 10.0 0.0 2.0 0.0
 44 0.0 10.699437 5.3 12.0 0.0 0.0 0.0
 45 0.0  9.668874 4.5 12.0 0.0 1.0 0.0
 46 0.0 10.922165 3.7 12.0 0.0 2.0 0.0
 47 0.0 11.249361 3.6 15.0 2.0 0.0 0.0
 48 0.0 10.051168 4.6 12.0 0.0 0.0 0.0
 49 0.0 10.621104 3.1 10.0 1.0 1.0 0.0
 50 1.0 10.644639 4.2 10.0 0.0 2.0 0.0
 51 0.0 10.419983 2.2 10.0 1.0 0.0 0.0
 52 1.0 10.466988 3.2  8.0 0.0 1.0 0.0
 53 1.0 10.478207 3.4  9.0 0.0 2.0 0.0
 54 1.0 10.435452 4.4  9.0 0.0 1.0 0.0
 55 1.0 10.427258 5.8 12.0 0.0 0.0 0.0
 56 1.0 10.471779 4.4  9.0 0.0 2.0 0.0
 57 0.0 11.138516 5.5  9.0 0.0 0.0 0.0
 58 0.0 10.318860 2.3 11.0 2.0 0.0 0.0
 59 0.0 10.305638 6.0 15.0 0.0 0.0 0.0
 60 0.0 10.864139 5.0 10.0 0.0 2.0 0.0
 61 0.0 10.465655 5.9  9.0 0.0 0.0 0.0
 62 0.0 10.223900 3.5  9.0 0.0 2.0 0.0
 63 0.0 12.019113 6.1 13.0 0.0 0.0 0.0
 64 1.0 11.411158 4.0 13.0 0.0 2.0 0.0
 65 0.0 10.514760 2.4 11.0 1.0 0.0 0.0
 66 1.0 10.493266 3.5  4.0 0.0 2.0 0.0
 67 1.0 10.718570 3.1 10.0 1.0 1.0 0.0
 68 0.0 11.336890 6.1 12.0 0.0 0.0 0.0
 69 1.0 10.814724 5.5 10.0 0.0 1.0 0.0
 70 0.0 10.316425 2.0  9.0 1.0 0.0 0.0
 71 0.0 11.096651 3.1 15.0 1.0 0.0 0.0
 72 1.0 10.472890 3.5  9.0 0.0 2.0 0.0
 73 0.0 10.588166 5.5  8.0 0.0 0.0 0.0
 74 0.0 11.584711 3.5 11.0 1.0 2.0 0.0
 75 0.0 10.618983 4.4 17.0 0.0 4.0 0.0
 76 1.0 10.517572 5.6  9.0 0.0 0.0 0.0
 77 0.0 10.825584 3.4 10.0 0.0 2.0 0.0
 78 1.0 10.909947 4.3  8.0 0.0 0.0 0.0
 79 1.0 10.363575 2.4 12.0 0.0 0.0 0.0
 80 1.0  9.646148 5.4  8.0 0.0 0.0 0.0
 81 0.0 10.157078 3.4  8.0 0.0 4.0 0.0
 82 1.0 10.279822 5.2  7.0 0.0 2.0 0.0
 83 0.0 10.571089 3.4  8.0 1.0 3.0 0.0
 84 0.0 10.763515 2.1  9.0 2.0 0.0 0.0
 85 1.0 10.540896 3.4 10.0 0.0 0.0 0.0
 86 0.0 10.654575 2.2  9.0 1.0 0.0 0.0
 87 0.0 10.852278 3.6  8.0 0.0 3.0 0.0
 88 0.0 10.285610 3.2 10.0 1.0 3.0 0.0
 89 0.0 11.338939 4.4 13.0 0.0 4.0 0.0
 90 1.0 11.235833 4.9 12.0 0.0 2.0 0.0
 91 0.0 10.471702 4.9 14.0 0.0 2.0 0.0
 92 0.0 10.787214 4.5 10.0 0.0 3.0 0.0
 93 0.0 10.599964 2.8 10.0 1.0 1.0 0.0
 94 0.0 10.280773 3.6  8.0 0.0 3.0 0.0
 95 0.0 10.840751 5.0  8.0 0.0 2.0 0.0
 96 0.0 11.052507 4.8  8.0 0.0 5.0 0.0
 97 0.0 10.653340 4.5  7.0 0.0 2.0 0.0
 98 0.0 10.338464 6.2  7.0 0.0 0.0 0.0
 99 0.0 10.708192 3.3 12.0 2.0 0.0 0.0
100 1.0 10.348194 4.8  8.0 0.0 0.0 0.0
101 1.0 11.021232 3.8 10.0 0.0 3.0 0.0
102 1.0 10.605906 4.6  7.0 0.0 1.0 0.0
103 1.0 10.649509 3.8 10.0 0.0 1.0 0.0
104 1.0 10.386903 5.6  7.0 0.0 0.0 0.0
105 1.0 10.741169 3.9 13.0 0.0 3.0 0.0
106 0.0 10.541059 2.8 10.0 2.0 0.0 0.0
107 0.0 11.081039 4.6 10.0 0.0 3.0 0.0
108 1.0 10.771101 2.7 10.0 0.0 0.0 0.0
109 0.0 12.285946 5.8 12.0 0.0 0.0 0.0
110 0.0 10.778364 2.7 12.0 2.0 0.0 0.0
111 0.0 10.669682 5.2 10.0 0.0 0.0 0.0
112 1.0 10.784824 3.1  9.0 0.0 3.0 0.0
113 1.0 11.269807 3.5 11.0 0.0 2.0 0.0
114 1.0 11.346660 3.4 12.0 0.0 1.0 0.0
115 1.0 10.825946 5.7  4.0 0.0 0.0 0.0
116 0.0 11.013918 4.4 10.0 0.0 2.0 0.0
117 0.0  9.574635 5.6  7.0 0.0 1.0 0.0
118 1.0 10.528624 3.4  4.0 0.0 3.0 0.0
119 1.0 10.741468 2.7 16.0 1.0 0.0 0.0
120 0.0 10.754830 4.4  9.0 0.0 3.0 0.0
121 1.0 10.830751 3.3 12.0 2.0 0.0 0.0
122 0.0 10.490775 5.2  9.0 0.0 2.0 0.0
123 0.0 10.363387 2.6  8.0 1.0 0.0 0.0
124 0.0 10.812684 2.8  9.0 0.0 2.0 0.0
125 0.0 10.763303 4.6  8.0 2.0 1.0 0.0
126 1.0 10.700171 4.2  9.0 0.0 2.0 0.0
127 0.0 10.446508 2.4  6.0 1.0 0.0 0.0
128 1.0 10.449971 2.1  8.0 0.0 0.0 0.0
129 0.0 10.663366 5.8  4.0 0.0 0.0 0.0
130 1.0 10.925736 4.7  8.0 0.0 4.0 0.0
131 0.0 10.865444 3.7  8.0 0.0 2.0 0.0
132 1.0 11.416710 3.1 11.0 1.0 0.0 0.0
133 1.0 10.819836 5.7  8.0 0.0 0.0 0.0
134 1.0 10.963413 3.8  9.0 0.0 2.0 0.0
135 0.0  9.263988 2.2 13.0 1.0 0.0 0.0
136 1.0 10.740620 4.0  8.0 0.0 2.0 0.0
137 0.0 11.329038 4.0 11.0 0.0 1.0 0.0
138 1.0 11.175732 3.5  9.0 0.0 2.0 0.0
139 0.0 11.131700 3.7  9.0 0.0 2.0 0.0
140 1.0 10.666515 5.4 12.0 0.0 0.0 0.0
141 0.0 11.086339 5.2 10.0 0.0 0.0 0.0
142 1.0 10.569454 3.1 11.0 0.0 2.0 0.0
