ID year month ge ibm mobil crsp
  1 1969  1 -0.011984 -0.059524 -0.014043 -0.006714 
  2 1969  2 -0.060377 -0.007004 -0.078431 -0.053641 
  3 1969  3  0.066474  0.070303  0.215130  0.030505 
  4 1969  4  0.059621  0.044586  0.029961  0.020528 
  5 1969  5 -0.035806 -0.025000  0.026667  0.005038 
  6 1969  6 -0.038196  0.058777 -0.129870 -0.067388 
  7 1969  7 -0.043056 -0.039230 -0.060981 -0.065173 
  8 1969  8 -0.027576  0.066256  0.107798  0.051488 
  9 1969  9  0.022687  0.000725 -0.103520 -0.022590 
 10 1969 10 -0.010294  0.044171 -0.044342  0.055647 
 11 1969 11 -0.047548 -0.006935 -0.053790 -0.032166 
 12 1969 12 -0.024649  0.021008 -0.049096 -0.019683 
 13 1970  1 -0.066129 -0.080247 -0.147283 -0.073252 
 14 1970  2 -0.025907  0.018494  0.097087  0.056708 
 15 1970  3  0.055319 -0.005143  0.017699 -0.004729 
 16 1970  4 -0.033898 -0.119645 -0.035362 -0.105318 
 17 1970  5 -0.068421 -0.063087  0.073171 -0.064346 
 18 1970  6  0.026742 -0.100719 -0.005682 -0.051075 
 19 1970  7  0.138889  0.013800  0.082286  0.074191 
 20 1970  8  0.021138  0.055500  0.064171  0.050047 
 21 1970  9  0.083121  0.095775  0.042714  0.047510 
 22 1970 10  0.019259  0.011825  0.042892 -0.018181 
 23 1970 11  0.027616  0.045068  0.065421  0.050450 
 24 1970 12  0.069590  0.034174  0.008772  0.060713 
 25 1971  1  0.057257  0.024390 -0.076522  0.052030 
 26 1971  2  0.089421  0.037788  0.038095  0.016899 
 27 1971  3  0.041850  0.062407  0.013761  0.044788 
 28 1971  4  0.097098  0.000699  0.068326  0.033326 
 29 1971  5 -0.024415 -0.082320 -0.070664 -0.036386 
 30 1971  6  0.019395 -0.030581  0.027650  0.003130 
 31 1971  7 -0.121399 -0.081230 -0.055605 -0.040270 
 32 1971  8  0.161592  0.048240 -0.057692  0.042502 
 33 1971  9 -0.002419 -0.000822 -0.007653 -0.005016 
 34 1971 10 -0.052846 -0.010700  0.023650 -0.040671 
 35 1971 11  0.025751  0.020965  0.015267 -0.001263 
 36 1971 12  0.053975  0.101473  0.095238  0.091268 
 37 1972  1 -0.009980  0.093611 -0.013730  0.028385 
 38 1972  2 -0.022177  0.005027  0.030626  0.031338 
 39 1972  3  0.071753  0.037313 -0.063781  0.008728 
 40 1972  4  0.046422  0.009810  0.017032  0.005491 
 41 1972  5  0.016636  0.033938  0.069856  0.016372 
 42 1972  6 -0.038545 -0.014456  0.018100 -0.020894 
 43 1972  7 -0.041825  0.022321  0.057778 -0.004248 
 44 1972  8  0.055556  0.022707  0.141176  0.035972 
 45 1972  9  0.003383 -0.004896  0.016729 -0.007670 
 46 1972 10 -0.037665 -0.051661  0.023035  0.008678 
 47 1972 11  0.068102  0.017769  0.059567  0.049770 
 48 1972 12  0.073665  0.028133  0.008518  0.011246 
 49 1973  1 -0.039451  0.083333  0.016216 -0.027655 
 50 1973  2 -0.039643 -0.005970 -0.139262 -0.044492 
 51 1973  3 -0.035514  0.000000  0.089669 -0.007942 
 52 1973  4 -0.081395 -0.054461 -0.044723 -0.051735 
 53 1973  5  0.004219 -0.032261 -0.026966 -0.024497 
 54 1973  6 -0.029832  0.007149  0.001946 -0.008689 
 55 1973  7  0.093682 -0.007886 -0.053204  0.057109 
 56 1973  8 -0.057769 -0.039364 -0.020747 -0.029654 
 57 1973  9  0.072304 -0.142857  0.067797  0.053993 
 58 1973 10  0.037698  0.086240 -0.070238 -0.000296 
 59 1973 11 -0.028298 -0.050419 -0.181425 -0.120880 
 60 1973 12 -0.001980 -0.068868  0.118734  0.011442 
 61 1974  1 -0.049603 -0.006079 -0.055660  0.005024 
 62 1974  2 -0.047599 -0.024852 -0.098985  0.002648 
 63 1974  3 -0.041943 -0.008933  0.025352 -0.022878 
 64 1974  4 -0.059908 -0.036055 -0.040110 -0.046377 
 65 1974  5 -0.053922 -0.059274 -0.032070 -0.041974 
 66 1974  6  0.029016  0.001176 -0.033133 -0.022946 
 67 1974  7 -0.126904 -0.052291  0.029283 -0.070891 
 68 1974  8 -0.119186 -0.040298 -0.086420 -0.087741 
 69 1974  9 -0.164356 -0.171875 -0.118243 -0.109712 
 70 1974 10  0.224000  0.189465  0.124138  0.165614 
 71 1974 11 -0.029412 -0.054858 -0.080139 -0.040940 
 72 1974 12 -0.090236 -0.052186  0.090909 -0.027007 
 73 1975  1  0.157303  0.120536  0.169444  0.141429 
 74 1975  2  0.152751  0.152722  0.003030  0.058610 
 75 1975  3  0.042493 -0.041183 -0.039275  0.030163 
 76 1975  4  0.000000  0.015729  0.033962  0.046423 
 77 1975  5 -0.013587  0.031566  0.177019  0.055156 
 78 1975  6  0.168595 -0.027907  0.002639  0.051587 
 79 1975  7 -0.102138 -0.089713 -0.045263 -0.060447 
 80 1975  8 -0.021164 -0.011827 -0.008427 -0.023611 
 81 1975  9 -0.040000  0.010738  0.011331 -0.037964 
 82 1975 10  0.093750  0.127490  0.047059  0.056037 
 83 1975 11  0.002597  0.074794 -0.010899  0.031164 
 84 1975 12 -0.035751 -0.009387  0.041322 -0.011014 
 85 1976  1  0.214092  0.149387  0.168783  0.125958 
 86 1976  2 -0.046875 -0.001455 -0.011494  0.007165 
 87 1976  3 -0.008899  0.024939  0.079070  0.026804 
 88 1976  4  0.023810 -0.032920  0.023707 -0.010473 
 89 1976  5 -0.053488  0.019734  0.018526 -0.009363 
 90 1976  6  0.130713  0.078422  0.004193  0.044439 
 91 1976  7 -0.045952 -0.016712 -0.022965 -0.006111 
 92 1976  8 -0.027523  0.013780 -0.000427 -0.001385 
 93 1976  9  0.029717  0.028323  0.067245  0.024500 
 94 1976 10 -0.013857 -0.034207 -0.016260 -0.020402 
 95 1976 11 -0.051522  0.005520  0.005372  0.005578 
 96 1976 12  0.107654  0.029982  0.085595  0.061600 
 97 1977  1 -0.049438 -0.013883  0.028846 -0.036341 
 98 1977  2 -0.044917  0.011807  0.001121 -0.015759 
 99 1977  3 -0.018317  0.001812  0.018939 -0.009247 
100 1977  4  0.096692 -0.064195 -0.014870  0.004957 
101 1977  5  0.006961 -0.041546 -0.015849 -0.010792 
102 1977  6  0.051613  0.075356  0.058366  0.051359 
103 1977  7 -0.037611  0.015625  0.005515 -0.012806 
104 1977  8 -0.018391  0.010256 -0.108592 -0.013357 
105 1977  9 -0.029508 -0.027480  0.031250  0.001574 
106 1977 10 -0.021951 -0.014368  0.000000 -0.039284 
