Cardhldr Majordrg   Age   Income   Expinc  Avgexp   Ownrent   Selfempl Depndt  Incper  Curadd  Major  Active 
1 0 37.66667 4.52 0.03326991 124.9833 1 0 3 1.13 54 1 12
1 0 33.25 2.42 0.005216942 9.854167 0 0 3 0.605 34 1 13
1 0 33.66667 4.5 0.004155556 15 1 0 4 0.9 58 1 5
1 0 30.5 2.54 0.06521378 137.8692 0 0 0 2.54 25 1 7
1 0 32.16667 9.7867 0.06705059 546.5033 1 0 2 3.262233 64 1 5
1 0 23.25 2.5 0.0444384 91.99667 0 0 0 2.5 54 1 1
1 0 27.91667 3.96 0.01257576 40.83333 0 0 2 1.32 7 1 5
1 0 29.16667 2.37 0.07643376 150.79 1 0 0 2.37 77 1 3
1 0 37 3.8 0.2456279 777.8217 1 0 0 3.8 97 1 6
1 0 28.41667 3.2 0.01978 52.58 0 0 0 3.2 65 1 18
1 0 30.5 3.95 0.07802456 256.6642 1 0 1 1.975 24 1 20
0 0 42 1.98 0.0006060606 0 1 0 2 0.66 36 1 0
0 0 30 1.73 0.0006936416 0 1 0 1 0.865 42 0 12
1 0 28.83333 2.45 0.03879551 78.87417 1 0 0 2.45 26 1 3
1 0 35.33333 1.908 0.02690671 42.615 1 0 2 0.636 120 0 5
1 0 41.16667 3.2 0.1258194 335.435 1 0 1 1.6 168 1 22
1 0 40.08333 4 0.07481575 248.7192 1 0 2 1.333333 96 1 0
0 7 29.5 3 4e-04 0 1 0 2 1 60 1 8
1 0 39.5 9.9999 0.06579486 548.035 1 1 0 9.9999 28 1 0
0 3 45.75 3.4 0.0003529412 0 0 0 0 3.4 28 1 10
1 0 35.25 2.35 0.02238596 43.33917 1 0 2 0.7833334 115 1 1
0 1 25.16667 1.875 0.00064 0 0 0 2 0.625 7 0 2
1 0 34.25 2 0.131112 218.52 1 0 0 2 12 1 0
1 1 35.75 4 0.05119225 170.6408 0 0 2 1.333333 18 1 22
1 0 42.66667 5.14 0.008949417 37.58333 1 0 2 1.713333 13 1 17
1 0 30.25 4.506 0.1337421 502.2017 0 0 2 1.502 38 1 7
0 0 21.66667 3.84 0.0003125 0 0 1 1 1.92 12 0 1
1 0 22.25 1.5 0.058608 73.17667 0 0 0 1.5 64 1 6
0 0 34.25 2.5 0.00048 0 1 0 1 1.25 12 1 0
1 0 40 5.5 0.3344596 1532.773 1 0 4 1.1 74 1 19
1 0 21.83333 2.0272 0.02532014 42.69083 0 0 0 2.0272 9 0 5
1 1 29.41667 3.2 0.1567194 417.835 0 0 0 3.2 14 1 6
0 1 24.91667 3.15 0.0003809524 0 1 0 1 1.575 40 1 5
1 0 21 2.4663 0.2689328 552.7242 1 0 1 1.23315 12 1 10
1 0 23.83333 3 0.08901566 222.5392 0 0 0 3 12 1 5
1 0 42.83333 3.5412 0.1834562 541.2958 1 0 6 0.5058857 108 1 15
0 0 42.58333 2.2845 0.000525279 0 0 0 2 0.7615 46 1 0
1 0 36.58333 5.7 0.1197419 568.7742 1 0 1 2.85 36 1 16
1 0 26.75 3.5 0.1181043 344.4708 0 0 0 3.5 2 1 14
1 0 27.75 4.6 0.1057439 405.3517 1 0 4 0.92 28 1 13
1 0 26.25 3 0.124375 310.9375 1 0 0 3 7 1 10
1 0 23.33333 2.585 0.02505764 53.645 0 0 0 2.585 8 1 1
1 0 29.91667 1.51 0.05125828 63.91667 0 0 1 0.755 7 0 1
1 0 30 1.85 0.1075816 165.855 0 0 0 1.85 60 1 12
1 0 38.33333 2.6 0.004807692 9.583333 0 0 0 2.6 12 1 1
0 0 28.16667 1.8 0.0006666667 0 0 1 2 0.6 26 1 2
1 0 35.58333 2 0.192044 319.49 0 0 0 2 156 1 4
0 0 37.75 3.2628 0.0003677823 0 0 0 1 1.6314 98 0 1
1 0 26.08333 2.35 0.04285106 83.08334 0 0 1 1.175 30 0 2
1 0 27.75 7 0.1105849 644.8283 1 0 0 7 0 1 13
0 0 49.75 3.6 0.0003333333 0 0 0 2 1.2 12 0 0
1 0 24.25 2 0.0559685 93.1975 0 0 0 2 18 1 12
1 0 20.66667 1.7 0.07420824 105.045 0 0 0 1.7 6 1 4
1 0 23.75 2.8 0.014875 34.125 0 0 2 0.9333333 48 1 8
1 0 25.75 2.4 0.02071958 41.18917 0 0 0 2.4 34 1 2
1 1 32.91667 3 0.068022 169.8883 0 0 0 3 216 0 5
1 0 34.33333 4.8 0.4745083 1898.033 0 0 3 1.2 12 1 1
1 0 33.25 3.18 0.3058082 810.3917 0 0 4 0.636 18 0 3
0 0 44.66667 1.8 0.0006666667 0 0 0 2 0.6 33 0 0
1 0 21.16667 1.5 0.02655333 32.775 0 0 0 1.5 20 1 4
1 2 25.08333 3 0.038453 95.79916 0 0 0 3 8 0 4
1 0 27.16667 2.28 0.01492807 27.78 0 0 3 0.57 36 1 5
1 0 26.41667 2.8 0.0921725 215.0692 0 0 1 1.4 12 1 16
1 0 22 2.7 0.03544926 79.51083 0 0 0 2.7 3 1 0
0 3 27.33333 4.9 0.000244898 0 1 0 2 1.633333 16 1 15
0 0 26.16667 2.5 0.00048 0 0 1 0 2.5 18 0 0
1 0 40.75 6 0.06123966 306.0317 0 1 2 2 182 1 16
1 0 42.08333 3.9 0.03221615 104.5358 0 0 0 3.9 78 1 2
0 0 21.66667 5.1 0.0002352941 0 0 0 0 5.1 25 1 0
1 0 24.66667 3.074 0.2508032 642.4742 0 0 0 3.074 4 1 0
1 0 30.75 2.4585 0.1503596 308.0492 1 0 2 0.8195 53 1 16
1 0 27.41667 2 0.111812 186.3533 0 0 0 2 9 1 5
1 0 33 3.248 0.02089871 56.14917 0 0 2 1.082667 144 0 2
1 0 37.33333 2.725 0.05719193 129.3733 0 0 2 0.9083333 13 1 14
1 0 26.58333 2.2 0.05078546 93.10667 0 0 0 2.2 144 1 10
0 1 24.33333 4.1 0.0002926829 0 0 0 1 2.05 5 0 4
1 0 24.25 3.75 0.09367893 292.6633 0 0 0 3.75 18 1 11
1 0 25.25 2.88 0.04106146 98.46416 0 0 0 2.88 7 1 0
1 0 0.5 3.05 0.1017243 258.5492 0 0 1 1.525 94 1 5
1 0 32.83333 2.55 0.04792941 101.6833 0 0 2 0.85 6 1 18
0 0 32.75 4 3e-04 0 0 0 2 1.333333 25 1 0
1 1 54.58333 2.64 0.02984697 65.24667 1 0 1 1.32 78 1 19
1 0 19.58333 1.65 0.07904787 108.6075 0 0 0 1.65 37 1 8
1 0 29.33333 2.4 0.02494458 49.55583 0 0 0 2.4 30 1 4
0 3 40.16667 3.7099 0.0003234589 0 0 0 2 1.236633 15 1 11
1 0 40.75 7.24 0.03904502 235.5717 1 0 2 2.413333 177 1 13
0 0 41.25 4.386 0.0002735978 0 1 0 3 1.0965 172 1 9
0 0 34.5 3.3 0.0003636364 0 1 0 2 1.1 33 0 18
0 0 23.66667 2.304 0.0005208334 0 0 0 1 1.152 12 1 0
0 1 53.66667 4.18 0.0002870813 0 0 0 1 2.09 288 1 2
0 2 34 2.4875 0.0004824121 0 0 0 1 1.24375 87 1 3
0 0 44.91667 2.8055 0.0004277313 0 1 0 5 0.4675834 4 1 0
1 0 43.41667 2.4 0.03435875 68.38417 0 0 0 2.4 12 1 0
0 4 35.16667 1.5 8e-04 0 0 0 1 0.75 7 1 9
0 2 35.83333 8.4 0.0001428571 0 0 0 2 2.8 69 1 12
1 0 21.66667 1.56 0.0007692308 0 0 0 0 1.56 12 1 2
1 1 32.66667 6 0.09483 474.15 1 0 0 6 48 1 6
1 1 25.41667 3.6 0.07804389 234.0483 0 0 2 1.2 12 1 4
1 0 26.25 5 0.1082892 451.205 1 0 0 5 5 1 16
1 0 46 5.5 0.05487727 251.5208 1 0 2 1.833333 161 1 7
1 1 35 9.9999 0.1101059 917.54 1 0 0 9.9999 72 1 29
0 0 35 4.55 0.0002637363 0 1 0 3 1.1375 36 1 15
0 0 20.91667 2.9 0.0004137931 0 0 0 0 2.9 36 1 3
1 0 25.16667 1.8 0.09848222 147.7233 0 0 0 1.8 1 0 9
1 0 31.25 4.2 0.04768381 166.7267 1 0 0 4.2 53 1 0
1 0 23.16667 3.92 0.2269911 741.5042 0 0 0 3.92 16 1 0
1 0 23 3.625 0.03514566 106.1692 0 0 1 1.8125 51 0 6
1 0 24.83333 2.48 0.1313552 271.4675 0 0 0 2.48 18 1 0
