Year K C M Pg Pt Pop L Y 
1947 9732 30.87 14.95 97 0.538 145 59.3 1513 
1948 9573 33.39 14.96 100.8 0.564 147 60.6 1567 
1949 9395 36.35 14.92 105.4 0.633 150 61.3 1547 
1950 9015 40.33 14.4 104.3 0.678 152 62.2 1646 
1951 9187 42.68 14.5 98 0.694 155 62 1657 
1952 9361 43.82 14.27 97.3 0.723 158 62.1 1678 
1953 9370 46.46 14.39 100 0.765 160 63 1726 
1954 9308 48.41 14.57 101.4 0.814 163 63.6 1714 
1955 9359 52.09 14.53 101.8 0.84 166 65 1795 
1956 9348 54.25 14.36 103.3 0.86 170 66.6 1839 
1957 9391 56.38 14.4 103.2 0.862 172 66.9 1844 
1958 9494 57.39 14.3 98.5 0.879 175 67.6 1831 
1959 9529 60.13 14.3 98.1 0.897 178 68.4 1881 
1960 9446 62.26 14.28 98.6 0.913 181 69.6 1883 
1961 9456 63.87 14.38 96.4 0.944 184 70.5 1909 
1962 9441 66.64 14.37 95 0.965 187 70.6 1968 
1963 9240 69.84 14.26 93.2 0.965 189 71.8 2013 
1964 9286 72.97 14.25 91.8 0.97 192 73.1 2123 
1965 9286 76.63 14.15 92.6 0.972 194 74.5 2235 
1966 9384 80.11 14.1 92.7 0.979 196 75.8 2331 
1967 9399 82.37 14.05 93.1 1 199 77.3 2398 
1968 9488 85.79 13.91 90.8 1.004 201 78.7 2480 
1969 9633 89.16 13.75 89 1.026 203 80.7 2517 
