Year	AIN	TFI
1500	17	106
1501	19	118
1502	20	124
1503	15	94
1504	13	82
1505	14	88
1506	14	87
1507	14	88
1508	14	88
1509	11	68
1510	16	98
1511	19	115
1512	23	135
1513	18	104
1514	17	96
1515	20	110
1516	20	107
1517	18	97
1518	14	75
1519	16	86
1520	21	111
1521	24	125
1522	15	78
1523	16	86
1524	20	102
1525	14	71
1526	16	81
1527	25,5	129
1528	25,8	130
1529	26	129
1530	26	125
1531	29	139
1532	20	97
1533	18	90
1534	16	76
1535	22	102
1536	22	100
1537	16	73
1538	19	86
1539	17	74
1540	17	74
1541	19	76
1542	20	80
1543	24	96
1544	28	112
1545	36	144
1546	20	80
1547	14	54
1548	18	69
1549	27	100
1550	29	103
1551	36	129
1552	29	100
1553	27	90
1554	30	100
1555	38	123
1556	50	156
1557	24	71
1558	25	71
1559	30	81
1560	31	84
1561	37	97
1562	41	105
1563	36	90
1564	32	78
1565	47	112
1566	42	100
1567	37	86
1568	34	77
1569	36	80
1570	43	93
1571	55	112
1572	64	131
1573	79	158
1574	59	113
1575	47	89
1576	48	87
1577	49	87
1578	45	79
1579	53	90
1580	55	90
1581	55	87
1582	54	83
1583	56	85
1584	52	76
1585	76	110
1586	113	161
1587	68	97
1588	59	84
1589	74	106
1590	78	111
1591	69	97
1592	78	108
1593	73	100
1594	88	119
1595	98	131
1596	109	143
1597	106	138
1598	87	112
1599	77	99
1600	77	97
1601	63	80
1602	70	90
1603	70	90
1604	63	80
1605	61	77
1606	66	81
1607	78	98
1608	93	115
1609	97	94
1610	77	93
1611	83	100
1612	81	99
1613	82	100
1614	78	94
1615	75	88
1616	80	92
1617	87	100
1618	72	82
1619	65	73
1620	74	81
1621	91	99
1622	115	124
1623	99	106
1624	99	106
1625	115	121
1626	101	105
1627	90	84
1628	95	97
1629	108	109
1630	147	148
1631	112	114
1632	108	108
1633	99	97
1634	96	92
1635	102	97
1636	105	98
1637	114	105
1638	103	97
1639	98	93
1640	103	99
1641	101	99
1642	110	107
1643	109	106
1644	98	96
1645	84	82
1646	90	88
1647	120	116
1648	124	122
1649	136	134
1650	120	119
1651	135	136
1652	100	102
1653	70	72
1654	60	63
1655	72	76
1656	70	75
1657	71	77
1658	94	103
1659	95	104
1660	110	120
1661	154	167
1662	116	126
1663	99	108
1664	82	91
1665	76	85
1666	64	73
1667	63	74
1668	68	80
1669	64	74
1670	67	78
1671	71	83
1672	72	84
1673	89	106
1674	114	134
1675	102	122
1676	85	102
1677	88	107
1678	97	115
1679	94	113
1680	88	104
1681	79	92
1682	74	84
1683	79	86
1684	95	101
1685	70	74
1686	72	75
1687	63	66
1688	60	62
1689	74	76
1690	75	79
1691	91	97
1692	126	134
1693	161	169
1694	109	111
1695	108	109
1696	110	111
1697	130	128
1698	166	163
1699	143	137
1700	103	99
1701	89	85
1702	76	72
1703	93	88
1704	82	77
1705	71	66
1706	69	64
1707	75	69
1708	134	125
1709	183	175
1710	113	108
1711	108	103
1712	121	115
1713	139	134
1714	109	108
1715	90	90
1716	88	89
1717	88	89
1718	93	94
1719	106	107
1720	89	89
1721	79	79
1722	91	91
1723	96	94
1724	111	110
1725	112	111
1726	104	103
1727	94	94
1728	98	101
1729	88	90
1730	94	96
1731	81	80
1732	77	76
1733	84	84
1734	92	91
1735	96	94
1736	102	101
1737	95	93
1738	98	91
1739	125	122
1740	162	159
1741	113	110
1742	94	90
1743	85	81
1744	89	84
1745	109	102
1746	110	102
1747	109	100
1748	120	109
1749	116	104
1750	101	90
1751	113	99
1752	109	95
1753	105	90
1754	94	80
1755	102	85
1756	141	117
1757	135	112
1758	118	95
1759	115	91
1760	111	88
1761	127	100
1762	124	97
1763	113	88
1764	122	95
1765	130	101
1766	137	106
1767	148	113
1768	142	108
1769	143	108
1770	176	131
1771	184	136
1772	164	119
1773	146	106
1774	147	105
1775	124	88
1776	119	84
1777	135	94
1778	125	87
1779	116	79
1780	132	87
1781	133	88
1782	144	94
1783	145	94
1784	146	92
1785	138	85
1786	139	84
1787	154	93
1788	181	108
1789	185	108
1790	151	86
1791	139	78
1792	157	87
1793	155	85
1794	191	103
1795	248	130
1796	185	95
1797	168	84
1798	176	87
1799	243	120
1800	289	139
1801	251	117
1802	232	105
1803	207	94
1804	276	125
1805	250	114
1806	216	98
1807	205	93
1808	206	94
1809	208	94
1810	226	104
1811	302	140
1812	261	121
1813	207	96
1814	209	96
1815	280	130
1816	381	178
1817	266	126
1818	197	94
1819	177	86
1820	170	84
1821	152	76
1822	156	77
1823	141	71
1824	142	71
1825	137	69
1826	161	82
1827	189	93
1828	226	114
1829	194	103
1830	217	110
1831	199	105
1832	151	82
1833	144	80
1834	138	78
1835	145	82
1836	156	88
1837	184	102
1838	216	117
1839	204	107
1840	186	95
1841	197	101
1842	183	92
1843	175	88
1844	183	92
1845	230	115
1846	278	139
1847	179	90
1848	161	80
1849	150	74
1850	159	78
1851	180	86
1852	223	105
1853	294	138
1854	300	141
1855	297	138
1856	232	107
1857	179	82
1858	180	81
1859	215	97
1860	258	116
1861	236	107
1862	202	92
1863	174	79
1864	179	81
1865	210	94
1866	268	119
1867	267	118
1868	208	93
1869	224	102
