Year	Price	Dividends
1871	10.05	0.59
1872	10.63	0.66
1873	11.26	0.72
1874	10.76	0.76
1875	11.18	0.74
1876	11.86	0.79
1877	9.67	0.52
1878	9.79	0.54
1879	11.26	0.64
1880	14.39	0.73
1881	17.99	0.92
1882	16.91	0.91
1883	17.55	1.01
1884	17.21	1.03
1885	15.25	0.88
1886	19.05	0.79
1887	20.29	0.89
1888	18.76	0.8
1889	19.19	0.79
1890	20.15	0.83
1891	18.4	0.85
1892	22.31	0.98
1893	22.17	0.99
1894	19.03	0.93
1895	18.48	0.82
1896	19.41	0.84
1897	19.18	0.83
1898	21.22	0.85
1899	24.62	0.85
1900	22.76	1.11
1901	27.19	1.21
1902	30.64	1.18
1903	30.32	1.24
1904	24.56	1.06
1905	30.77	1.17
1906	34.03	1.36
1907	31.14	1.42
1908	22.68	1.35
1909	30.4	1.37
1910	31.6	1.42
1911	29.9	1.55
1912	29.04	1.48
1913	27.43	1.45
1914	25.21	1.31
1915	22.53	1.3
1916	24.36	1.33
1917	18.44	1.19
1918	11.55	0.89
1919	11.63	0.78
1920	11.18	0.69
1921	12.32	0.96
1922	15.6	1.04
1923	16.82	1.05
1924	17.11	1.12
1925	19.78	1.16
1926	23.6	1.37
1927	26.8	1.6
1928	35.27	1.75
1929	49.52	2.02
1930	45.14	2.25
1931	40.15	2.23
1932	23.85	1.53
1933	22.44	1.33
1934	28.18	1.19
1935	22.7	1.17
1936	33	1.77
1937	39.62	1.84
1938	26.99	1.29
1939	31.41	1.59
1940	29.93	1.69
1941	25.24	1.61
1942	17.97	1.19
1943	19.15	1.17
1944	22.19	1.22
1945	24.84	1.24
1946	32.53	1.16
1947	20.78	1.1
1948	17.89	1.12
1949	18.82	1.45
1950	21.75	1.8
1951	23.26	1.55
1952	26.97	1.59
1953	30.02	1.66
1954	28.93	1.76
1955	40.73	1.87
1956	49.72	1.92
1957	49.01	1.92
1958	43.61	1.85
1959	58.67	1.93
1960	61.28	2.06
1961	62.73	2.14
1962	72.71	2.25
1963	68.7	2.41
1964	80.3	2.64
1965	90.46	2.82
1966	94.65	2.88
1967	84.37	2.92
1968	94.01	3
1969	97.79	2.97
1970	82.63	2.84
1971	83.62	2.7
1972	88.82	2.65
1973	95.1	2.51
1974	65.56	2.25
1975	42.24	2.1
1976	53.99	2.21
1977	55.18	2.41
1978	45.1	2.42
1979	44.53	2.4
1980	43.5	2.29
1981	46.69	2.26
1982	39.32	2.3
1983	48.11	2.34
1984	54.02	2.43
1985	55.45	2.55
