year	state	inc	def	tpop	yd	ydpc	esrcb	esrcbpc	esrcd	resrcd	esrcbg	esrcbgpc	esrcdg	resrcdg	hdd	cdd
1970	AK	1326760	35.7	303	3716414.57	12265.39	1.8	0.01	9.29	26.01	6.24	0.02	1.51	4.23	1.27	0
1971	AK	1451199	37.4	316	3880211.23	12279.15	2.15	0.01	9.31	24.9	6.93	0.02	1.52	4.07	1.27	0
1972	AK	1553890	38.8	324	4004871.13	12360.71	2.14	0.01	10.28	26.49	8.43	0.03	1.55	3.98	1.18	0
1973	AK	1858589	41	331	4533143.9	13695.3	2.34	0.01	9.53	23.26	5.08	0.02	1.56	3.8	1.21	0
1974	AK	2235316	45.2	341	4945389.38	14502.61	2.57	0.01	9.83	21.74	4.18	0.01	1.57	3.48	1.19	0
1975	AK	3161903	48.9	376	6466059.3	17196.97	3.06	0.01	10.16	20.77	10.44	0.03	1.62	3.31	1.21	0
1976	AK	3816406	51.8	401	7367579.15	18373.02	3.36	0.01	10.89	21.03	10.97	0.03	1.65	3.18	1.04	0
1977	AK	3879864	55.4	403	7003364.62	17378.08	3.65	0.01	12.25	22.11	11.34	0.03	1.7	3.07	1.11	0
1978	AK	4002963	59.4	405	6738994.95	16639.49	3.79	0.01	13.12	22.09	12.15	0.03	1.76	2.97	1.12	0
1979	AK	4128744	64.7	403	6381366.31	15834.66	3.64	0.01	13.51	20.88	7.3	0.02	1.71	2.64	1.08	0
1980	AK	4708230	71.4	402	6594159.66	16403.38	3.73	0.01	16.18	22.66	7.94	0.02	1.73	2.43	1.07	0
1981	AK	5322004	77.8	416	6840622.11	16443.8	4.19	0.01	17.65	22.68	7.93	0.02	1.95	2.5	1.19	0
1982	AK	6493677	82.2	446	7899850.36	17712.67	4.81	0.01	21.01	25.55	10.54	0.02	1.8	2.19	1.11	0
1983	AK	7434860	86.2	482	8625127.61	17894.46	4.96	0.01	24.04	27.88	10.45	0.02	2.33	2.71	1.12	0
1984	AK	7998140	89.6	505	8926495.54	17676.23	5.45	0.01	24.78	27.66	11.85	0.02	2.48	2.77	1.14	0
1985	AK	8839363	93.1	522	9494482.28	18188.66	5.71	0.01	25.96	27.89	13.34	0.03	2.79	3	1.14	0
1986	AK	8779737	96	531	9145559.38	17223.28	5.54	0.01	26.48	27.59	12.21	0.02	3.22	3.35	1.06	0
1987	AK	8476183	100	525	8476183	16145.11	5.28	0.01	28.75	28.75	12.37	0.02	3.18	3.18	1.07	0
1988	AK	8939437	104.2	525	8579114.2	16341.17	5.43	0.01	28.39	27.24	12.58	0.02	3.45	3.31	1.17	0
1989	AK	9584812	109.3	527	8769269.9	16639.98	5.61	0.01	28.72	26.28	13.56	0.03	3.64	3.33	1.11	0
1990	AK	10033814	115	550	8725055.65	15863.74	5.67	0.01	29.64	25.77	13.43	0.02	4	3.48	1.14	0
