Year	Quarter	Consumption	Income
47	1	1.07	2.25
47	2	1.08	2.19
47	3	1.08	2.23
47	4	1.06	2.19
48	1	1.06	2.23
48	2	1.06	2.29
48	3	1.05	2.32
48	4	1.06	2.32
49	1	1.06	2.27
49	2	1.06	2.26
49	3	1.05	2.25
49	4	1.06	2.25
50	1	1.06	2.4
50	2	1.07	2.37
50	3	1.08	2.38
50	4	1.05	2.41
51	1	1.07	2.39
51	2	1.06	2.43
51	3	1.07	2.43
51	4	1.08	2.42
52	1	1.07	2.4
52	2	1.09	2.42
52	3	1.1	2.46
52	4	1.11	2.48
53	1	1.11	2.49
53	2	1.11	2.52
53	3	1.1	2.5
53	4	1.09	2.49
54	1	1.09	2.48
54	2	1.08	2.45
54	3	1.09	2.48
54	4	1.1	2.52
55	1	1.1	2.53
55	2	1.12	2.57
55	3	1.12	2.6
55	4	1.14	2.63
56	1	1.15	2.64
56	2	1.14	2.65
56	3	1.13	2.65
56	4	1.14	2.67
57	1	1.13	2.66
57	2	1.13	2.67
57	3	1.15	2.67
57	4	1.14	2.65
58	1	1.12	2.61
58	2	1.12	2.62
58	3	1.14	2.66
58	4	1.14	2.69
71	1	1.39	3.73
71	2	1.39	3.76
71	3	1.39	3.75
71	4	1.39	3.76
72	1	1.4	3.79
72	2	1.43	3.81
72	3	1.44	3.87
72	4	1.46	3.98
73	1	1.47	4.05
73	2	1.45	4.07
73	3	1.45	4.09
73	4	1.44	4.11
74	1	1.42	4.04
74	2	1.42	4.03
74	3	1.42	4.01
74	4	1.4	3.96
75	1	1.41	3.93
75	2	1.43	4.13
75	3	1.43	4.06
75	4	1.43	4.08
76	1	1.46	4.14
59	1	1.15	2.7
59	2	1.16	2.73
59	3	1.16	2.7
59	4	1.16	2.71
60	1	1.15	2.72
60	2	1.16	2.72
60	3	1.15	2.71
60	4	1.14	2.69
61	1	1.15	2.7
61	2	1.15	2.73
61	3	1.15	2.75
61	4	1.16	2.79
62	1	1.17	2.8
62	2	1.17	2.82
62	3	1.17	2.82
62	4	1.18	2.82
63	1	1.18	2.83
63	2	1.18	2.85
63	3	1.18	2.87
63	4	1.18	2.9
64	1	1.2	2.95
64	2	1.21	3.03
64	3	1.23	3.05
64	4	1.23	3.08
65	1	1.24	3.1
65	2	1.24	3.13
65	3	1.25	3.2
65	4	1.29	3.25
66	1	1.3	3.27
66	2	1.3	3.27
66	3	1.31	3.3
66	4	1.3	3.32
67	1	1.31	3.36
67	2	1.31	3.38
67	3	1.3	3.4
67	4	1.31	3.42
68	1	1.33	3.45
68	2	1.34	3.5
68	3	1.36	3.5
68	4	1.36	3.52
69	1	1.365	3.52
69	2	1.37	3.54
69	3	1.37	3.6
69	4	1.37	3.6
70	1	1.38	3.61
70	2	1.38	3.68
70	3	1.39	3.7
70	4	1.39	3.67
76	2	1.47	4.15
76	3	1.48	4.16
76	4	1.5	4.18
77	1	1.51	4.19
77	2	1.51	4.25
77	3	1.51	4.32
77	4	1.53	4.37
78	1	1.53	4.39
78	2	1.53	4.42
78	3	1.55	4.46
78	4	1.58	4.49
79	1	1.56	4.51
79	2	1.55	4.5
79	3	1.57	4.52
79	4	1.59	4.51
80	1	1.58	4.52
80	2	1.56	4.45
80	3	1.55	4.47
80	4	1.56	4.5
81	1	1.57	4.55
81	2	1.57	4.53
