Year W B U BW Q
1920 73.8 11.3 3.9 0.15 3426
1921 70.6 16.83 17 0.24 3242
1922 59.1 22 14.3 0.37 3384
1923 55.5 22 11.7 0.4 3514
1924 56 23.67 10.3 0.42 3622
1925 56.4 27 11.3 0.48 3840
1926 55.8 27 12.5 0.48 3656
1927 56.2 27 9.7 0.48 3937
1928 55.7 27.67 10.8 0.5 4003
1929 55.8 28 10.4 0.5 4097
1930 55.7 29.5 16.1 0.53 4082
1931 54.9 29.54 21.3 0.54 3832
1932 54 27.25 22.1 0.5 3828
1933 53.7 27.25 19.9 0.51 3899
1934 54.3 28.6 16.7 0.53 4196
1935 55 30.3 15.5 0.55 4365
1936 56.1 32 13.1 0.57 4498
1937 57.2 32 10.8 0.56 4665
1938 58.9 32.75 12.9 0.56 4807
