Obs y x
1 18640 1.002
2 38275 1.403
3 2450.3 2.004
4 21969 2.138
5 9573.7 2.205
6 13751 3.608
7 38947 3.675
8 17921 4.009
9 5050.7 4.276
10 4519 4.41
11 6781.1 4.543
12 8246.2 4.81
13 5166.4 4.944
14 7762.4 5.211
15 11081 5.345
16 7188 5.679
17 13753 5.813
18 7492.4 5.813
19 3620.9 5.879
20 6390.6 6.08
21 5485.8 6.748
22 3416.5 6.882
23 8194.7 6.948
24 5091.9 6.948
25 1183.8 7.082
26 4157.9 7.416
27 2158.3 7.483
28 12428 7.617
29 6788.5 7.75
30 3277.4 7.75
31 3258.2 7.951
32 5491.3 8.084
33 865.02 11.25
34 340.69 13.25
35 507.03 15.5
36 323.67 18
37 108.36 19
38 805.66 23
39 156.84 26.25
