year cbeef pbeef cpork ppork clamb plamb cveal pveal cchicken pchicken
1948 63.1 82.9 67.8 67.6 5.1 77.8 9.5 77.1 18.3 75.4
1949 63.9 76.3 67.7 61.5 4.1 82.4 8.9 75.7 19.6 71.8
1950 63.4 88.3 69.2 60.4 4 84.2 8 81.1 20.6 68
1951 56.1 90 71.9 60.6 3.4 86.7 6.6 87.6 21.7 66
1952 62.2 85.4 72.4 57.3 4.d2 86.2 7.2 86.3 22.1 65
1953 77.6 66.2 63.5 62.9 4.7 70 9.5 68.7 21.9 62.8
1954 80.1 64.1 60 63.7 4.6 71 10 65.8 22.8 56.4
1955 82 63.2 66.8 54.6 4.6 69 9.4 65.8 21.3 58.7
1956 85.4 60.9 67.3 51.4 4.5 68.3 9.5 63.6 24.4 50.4
1957 84.6 63.1 61.1 57.6 4.2 69.9 8.8 65.5 25.5 47.6
1958 80.5 72 60.2 60.5 4.2 74.1 6.7 76.1 28.2 45.8
1959 81.4 73.3 67.6 52.8 4.8 69.6 5.7 79.8 28.9 41.4
1960 85.2 70.4 65.2 51.6 4.8 67.6 6.2 77.8 28.2 41.4
1961 88 68.3 62.2 53.3 5.1 63.3 5.7 77.3 30.3 37
1962 89.1 69.8 64 52.9 5.1 67.1 5.5 79.5 30.2 38.6
1963 95.2 67.8 64.9 50.5 4.9 68 5 79.2 30.6 37.6
