Year	Quarter	GNP	QM2
59	1	477	287.83
59	2	490.6	292.17
59	3	489	296.1
59	4	495	297.2
60	1	506.9	298.73
60	2	506.3	301.1
60	3	508	306.47
60	4	504.8	310.97
61	1	508.2	316.33
61	2	519.2	322.17
61	3	528.2	327.57
61	4	542.6	333.4
62	1	554.2	340.3
62	2	562.7	347.47
62	3	568.9	352.87
62	4	574.3	359.97
63	1	582	367.97
63	2	590.7	375.97
63	3	601.8	383.6
63	4	612.4	391.1
64	1	625.3	397.6
64	2	634	404.33
64	3	642.8	413.47
64	4	648.8	422.1
65	1	668.8	430.47
65	2	681.7	437.57
65	3	696.4	445.97
65	4	717.2	456.07
66	1	738.5	464.67
66	2	750	470.17
66	3	760.6	473
66	4	774.9	477.87
67	1	780.7	485.43
67	2	788.6	497.13
67	3	805.7	510.83
67	4	823.3	521.37
68	1	841.2	530.23
68	2	867.2	539.17
68	3	884.9	549.9
68	4	900.3	562.2
69	1	921.2	571.67
69	2	937.4	577.07
69	3	955.3	580.93
69	4	962	586.8
70	1	972	589.67
70	2	986.3	594.07
70	3	1003.6	606.3
70	4	1009	622.73
71	1	1049.3	642.67
71	2	1068.9	668.43
71	3	1086.6	687.8
71	4	1105.8	706.67
72	1	1142.4	727.87
72	2	1171.7	746.97
72	3	1196.1	771.7
72	4	1233.5	797.1
73	1	1283.5	816.73
73	2	1307.6	830.5
73	3	1337.7	843.13
73	4	1376.7	854.63
74	1	1387.7	870.8
74	2	1423.8	881.83
74	3	1451.6	891.5
74	4	1473.8	904.63
75	1	1479.8	921.27
75	2	1516.7	955.07
75	3	1578.5	989.8
75	4	1621.8	1014.17
76	1	1672	1046.23
76	2	1698.6	1078.87
76	3	1729	1108.33
76	4	1772.5	1149.3
77	1	1839.1	1188.27
77	2	1893.9	1221.07
77	3	1950.4	1250.3
77	4	1988.6	1278
78	1	2032.4	1302
78	2	2129.6	1325.4
78	3	2190.5	1351.23
78	4	2271.9	1379.83
79	1	2340.6	1403.03
79	2	2374.6	1435.63
79	3	2444.1	1470.6
79	4	2496.3	1491.8
80	1	2571.7	1518.47
80	2	2564.8	1535.3
80	3	2637.3	1588.7
80	4	2730.6	1626.07
81	1	2853	1654.4
