T HS y RR
54-4 28.73 101.8 3.92
55-1 29.83 103.3 4.25
55-2 31.22 107.4 4.42
55-3 32.61 113.7 4.63
55-4 30.47 110.8 4.9
56-1 31.34 117.2 4.63
56-2 32.42 118.3 5.16
56-3 30.56 116.8 4.64
56-4 22.01 121.7 4.09
57-1 17.75 122.8 3.12
57-2 29.41 122.5 2.79
57-3 28.76 118.8 2.96
57-4 30.39 121.8 3.47
58-1 36.67 121.5 3.71
58-2 41.27 124.2 3.38
58-3 36.18 123.2 3.04
58-4 37.46 127.7 3.07
59-1 32.99 127.2 3.42
59-2 32.49 128.8 4.52
59-3 32.98 128.4 4.87
59-4 33.32 131.5 4.59
60-1 21.95 133.4 4.41
60-2 23.54 130.5 4.52
60-3 27.05 133.3 4.54
60-4 27.34 133.8 4.55
61-1 31.9 132.5 4.54
61-2 29.88 137.1 4.36
61-3 30.07 135.1 4.47
61-4 27.39 141.5 4.45
62-1 30.58 143.3 4.34
62-2 31.97 143.3 4.05
62-3 31.53 148.4 4.38
62-4 28.36 148.2 3.96
63-1 31.94 148.2 3.72
63-2 32.78 150.1 3.63
63-3 34.97 157.1 3.84
63-4 39.12 157.7 3.85
64-1 42.82 160.7 3.75
64-2 32.84 162.2 3.69
64-3 37.4 165.2 3.81
64-4 46.1 166.6 3.9
65-1 40.63 169.9 3.68
65-2 38.23 172.4 3.47
65-3 39.63 177 3.34
65-4 40.38 179 3.28
66-1 41.12 183.4 3.17
66-2 29.11 185.8 2.73
66-3 29.83 191 2.44
66-4 32.95 186.9 2.38
67-1 30.04 190.3 2.29
67-2 43.53 193.5 2.14
67-3 42.41 194.5 2.13
67-4 35.87 194 2.39
68-1 46.34 197.4 2.83
68-2 48.37 202.6 2.7
68-3 42.49 208 2.4
68-4 51 209.1 2.53
69-1 66.32 211.7 2.93
69-2 54.51 213.2 3.42
69-3 47.52 218.1 4.06
69-4 41.58 218 4.09
70-1 40.85 218.3 4.25
70-2 34.54 220.4 3.77
70-3 44.43 222.4 3.29
70-4 60.78 221.7 3.62
71-1 49.18 227.8 3.36
71-2 55.81 233.3 3.76
71-3 57.23 239.8 2.97
71-4 59.27 242 2.02
72-1 62.12 243.8 1.93
72-2 62.08 250.5 1.68
72-3 60.51 249.2 1.6
72-4 57.25 257.7 1.05
73-1 62.39 264.7 0.88
73-2 68.25 267.2 1.65
73-3 65.32 267 1.92
73-4 62.45 278.1 1.46
74-1 68.48 280.6 1.21
74-2 62.68 279.6 2.34
74-3 50.43 274.5 2.5
74-4 40.33 281.5 1.37
75-1 37.28 278.9 -0.96
75-2 51.37 280.4 -1.23
75-3 60.49 282.7 -0.09
75-4 67.14 286.8 0.78
76-1 66.58 294.4 1.42
76-2 70.57 298.9 1.87
76-3 64.94 299 2.54
76-4 63.81 299 2.88
77-1 53.48 301.3 2.36
77-2 61.83 302.5 1.65
77-3 61.79 304.9 0.71
