Year RGNP GNP PCRGNP IP EMP UN PRGNP CPI WG RWG M VEL BND SP500
1860 0 0 0 0.9 0 0 0 27 0 0 0 0 0 0
1861 0 0 0 0.9 0 0 0 27 0 0 0 0 0 0
1862 0 0 0 0.9 0 0 0 30 0 0 0 0 0 0
1863 0 0 0 1 0 0 0 37 0 0 0 0 0 0
1864 0 0 0 1 0 0 0 48 0 0 0 0 0 0
1865 0 0 0 1 0 0 0 47 0 0 0 0 0 0
1866 0 0 0 1.2 0 0 0 44 0 0 0 0 0 0
1867 0 0 0 1.3 0 0 0 43 0 0 0 0 0 0
1868 0 0 0 1.3 0 0 0 41 0 0 0 0 0 0
1869 0 0 0 1.4 0 0 0 40 0 0 0 5.61 0 0
1870 0 0 0 1.5 0 0 0 38 0 0 0 5.16 0 0
1871 0 0 0 1.5 0 0 0 37 0 0 0 4.63 0 4.69
1872 0 0 0 1.8 0 0 0 37 0 0 0 5.05 0 5.03
1873 0 0 0 1.8 0 0 0 37 0 0 0 4.95 0 4.8
1874 0 0 0 1.7 0 0 0 35 0 0 0 4.71 0 4.57
1875 0 0 0 1.7 0 0 0 33 0 0 0 4.46 0 4.45
1876 0 0 0 1.7 0 0 0 32 0 0 0 4.65 0 4.06
1877 0 0 0 1.8 0 0 0 32 0 0 0 4.89 0 3.14
1878 0 0 0 1.9 0 0 0 30 0 0 0 5.06 0 3.38
1879 0 0 0 2.2 0 0 0 29 0 0 0 5.1 0 4.12
1880 0 0 0 2.5 0 0 0 30 0 0 0 5.31 0 5.21
1881 0 0 0 2.8 0 0 0 30 0 0 0 4.41 0 6.25
1882 0 0 0 3 0 0 0 30 0 0 0 4.41 0 5.9
1883 0 0 0 3 0 0 0 29 0 0 0 4.01 0 5.63
1884 0 0 0 2.9 0 0 0 28 0 0 0 3.89 0 4.73
1885 0 0 0 2.9 0 0 0 28 0 0 0 3.53 0 4.6
1886 0 0 0 3.5 0 0 0 28 0 0 0 3.38 0 5.36
1887 0 0 0 3.7 0 0 0 28 0 0 0 3.29 0 5.53
1888 0 0 0 3.8 0 0 0 28 0 0 0 3.15 0 5.2
1889 0 0 0 4.1 0 0 25.9 28 0 0 3.6 3.08 0 5.32
1890 0 0 0 4.4 22577 4 25.4 28 0 0 3.9 3 0 5.27
1891 0 0 0 4.5 22792 5.4 24.9 28 0 0 4.1 2.96 0 5.03
1892 0 0 0 4.8 23932 3 24 28 0 0 4.4 2.86 0 5.55
1893 0 0 0 4.3 22321 11.7 24.5 28 0 0 4.3 2.93 0 4.78
1894 0 0 0 4.2 21102 18.4 23 26 0 0 4.3 2.57 0 4.39
1895 0 0 0 4.9 22824 13.7 22.7 25 0 0 4.4 2.73 0 4.53
1896 0 0 0 4.6 23129 14.4 22.1 25 0 0 4.4 2.63 0 4.23
1897 0 0 0 4.9 23604 14.5 22.2 25 0 0 4.6 2.72 0 4.45
1898 0 0 0 5.6 24746 12.4 22.9 25 0 0 5.3 2.51 0 5.05
1899 0 0 0 6.1 26911 6.5 23.6 25 0 0 6.1 2.49 0 6.29
1900 0 0 0 6.3 27909 5 24.7 25 487 19.48 6.6 2.49 3.3 6.15
1901 0 0 0 7.1 28922 4 24.5 25 511 20.44 7.5 2.44 3.25 7.84
1902 0 0 0 7.9 29800 3.7 25.4 26 537 20.65 8.2 2.31 3.3 8.42
1903 0 0 0 8.1 30506 3.9 25.7 27 548 20.3 8.7 2.29 3.45 7.21
1904 0 0 0 7.8 30771 5.4 26 27 538 19.93 9.2 2.14 3.6 7.05
1905 0 0 0 9.2 31976 4.3 26.5 27 561 20.78 10.2 2.13 3.5 8.99
1906 0 0 0 9.8 33749 1.7 27.2 28 577 20.61 11.1 2.28 3.55 9.64
1907 0 0 0 10 34371 2.8 28.3 29 598 20.62 11.6 2.28 3.8 7.84
1908 0 0 0 8.5 33246 8 28.1 28 548 19.57 11.4 2.06 3.95 7.78
1909 116.8 33400 1291 10 35072 5.1 29.1 28 599 21.39 12.7 2.19 3.77 9.71
1910 120.1 35300 1300 10.6 35762 5.9 29.9 29 651 22.45 13.3 2.17 3.8 9.35
1911 123.2 35800 1312 10.2 36179 6.7 29.7 29 632 21.79 14.1 2.07 3.9 9.24
1912 130.2 39400 1366 11.7 37433 4.6 30.9 30 651 21.7 15.1 2.12 3.9 9.53
1913 131.4 39600 1351 12.5 38298 4.3 31.1 29.7 689 23.2 15.7 2.15 4 9.51
1914 125.6 38600 1267 11.7 37559 7.9 31.4 30.1 696 23.12 16.4 1.88 4.1 8.08
1915 124.5 40000 1238 13.6 37511 8.5 32.5 30.4 661 21.74 17.6 1.87 4.15 8.31
1916 134.3 48300 1317 16.1 39364 5.1 36.5 32.7 751 22.97 20.9 2.09 4.05 9.47
1917 135.2 60400 1309 16.2 40084 4.6 45 38.4 883 22.99 24.4 2.15 4.05 8.5
1918 151.8 76400 1471 16 42712 1.4 52.6 45.1 1107 24.55 26.7 2.47 4.75 7.54
1919 146.4 84000 1401 14.1 41938 1.4 53.8 51.8 1293 24.96 31 2.25 4.75 8.78
1920 140 91500 1315 14.8 40799 5.2 61.3 60 1532 25.53 34.8 2.18 5.1 7.98
1921 127.8 69600 1177 11.4 38568 11.7 52.2 53.6 1396 26.04 32.9 1.88 5.17 6.86
1922 148 74100 1345 14.5 41134 6.7 49.5 50.2 1283 25.56 33.7 1.87 4.71 8.41
1923 165.9 85100 1482 17.3 43955 2.4 50.7 51.1 1403 27.46 36.6 2.02 4.61 8.57
1924 165.5 84700 1450 16.2 43607 5 50.1 51.2 1427 27.87 38.6 1.95 4.66 9.05
1925 179.4 93100 1549 17.8 45082 3.2 51 52.5 1450 27.62 42.1 1.87 4.5 11.15
