Year ACorn ASoy AWheat YCorn YSoy YWheat
1930 103915 3072 67559 20.5 13 14.2  
1931 109364 3835 66463 24.5 15.1 16.3  
1932 113024 3704 66281 26.5 15.1 13.1  
1933 109830 3537 69009 22.8 12.9 11.2  
1934 100563 5769 64064 18.7 14.9 12.1  
1935 99974 6966 69611 24.2 16.8 12.2  
1936 101959 6127 73970 18.6 14.3 12.8  
1937 97174 6332 80814 28.9 17.9 13.6  
1938 94473 7318 78981 27.8 20.4 13.3  
1939 91639 9565 62802 29.9 20.9 14.1  
1940 88692 10487 61820 28.9 16.2 15.3  
1941 86837 10068 62707 31.2 18.2 16.8  
1942 88818 13696 53000 35.4 19 19.5  
1943 94341 14191 55984 32.6 18.3 16.4  
1944 95475 13118 66190 33 18.8 17.7  
1945 89261 13056 69192 33.1 18 17  
1946 88898 11706 71578 37.2 20.5 17.2  
1947 85032 13052 78314 28.6 16.3 18.2  
1968 85522 11987 78345 43 21.3 17.9  
1949 86738 11872 83905 38.2 22.3 14.5  
1950 82859 15048 71287 38.2 21.7 16.5  
1951 83275 15176 78524 36.9 20.8 16  
1952 82230 15958 78645 41.8 20.7 18.4  
1953 81574 16394 78931 40.7 18.2 17.3  
1954 82185 18541 62539 39.4 20 18.1  
1955 80932 19674 58246 42 20.1 19.8  
1956 77828 21700 60655 47.4 21.8 20.2  
1957 73180 21038 49834 48.3 23.2 21.8  
1958 73351 25108 56017 52.8 24.2 27.5  
1959 82742 23349 56706 53.1 23.5 21.6  
1960 81425 24440 54906 54.7 23.5 26.1  
1961 65919 27787 55707 62.4 25.1 23.9  
1962 65017 28418 49274 64.7 24.2 25  
1963 68771 29462 53364 67.9 24.4 25.2  
1964 65823 31605 55672 62.9 22.8 25.8  
1965 65171 35277 57361 74.1 24.5 26.5  
1966 66347 37294 54105 73.1 25.4 26.3  
1967 71156 40819 67264 80.1 24.5 25.8  
1968 65126 42265 61860 79.5 26.7 28.4  
1969 64264 42534 53450 85.9 27.4 30.6  
1970 66836 43082 48739 72.4 26.7 31  
1971 74179 43416 53822 88.1 27.5 33.9  
1972 67126 46866 54913 97 27.8 32.7  
1973 72253 56549 59254 91.3 27.8 31.6  
1974 77935 52479 71044 71.9 23.7 27.3  
1975 78719 54590 74900 86.4 28.9 30.6  
1976 84588 50269 80395 88 26.1 30.3  
1977 84328 58978 75410 90.8 30.6 30.7  
1978 81675 64708 65989 101 29.4 31.4  
1979 81394 71411 71424 109.5 32.1 34.2  
1980 84043 69930 80788 91 26.5 33.5  
1981 84097 67543 88251 108.9 30.1 34.5  
1982 81857 70884 86232 113.2 31.5 35.5  
1983 60217 63779 76419 81.1 26.2 39.4  
1984 80543 67755 79213 106.7 28.1 38.8  
1985 83348 63130 75575 118 34.1 37.5  
1986 76646 61835 72007 119.3 33.1 34.8  
