Year Pt Qt Yt Zt     
1922 26.8 65.7 541 74     
1923 25.3 74.2 616 84.7     
1924 25.3 74 610 80.2     
1925 31.1 66.8 636 69.9     
1926 33.3 64.1 651 66.8     
1927 31.2 67.7 645 71.6     
1928 29.5 70.9 653 73.6     
1929 30.3 69.6 682 71.2     
1930 29.1 67 604 69.6     
1931 23.7 68.4 515 68     
1932 15.6 70.7 390 74.8     
1933 13.9 69.6 364 73.6     
1934 18.8 63.1 411 70.2     
1935 27.4 48.4 459 46.5     
1936 26.9 55.1 517 57.6     
1937 27.7 55.8 551 58.7     
1938 24.5 58.2 506 58     
1939 22.2 64.7 538 67.2     
1940 19.3 73.5 576 73.7     
1941 24.7 68.4 697 66.5     
