ID TC Q PL PK PF SL SK 
  1    .2130     8  6869.47  64.945 18.0000  .3291 .4197
 20    .4887    14  5438.89  86.110 34.1500  .2994 .4571
 17    .6159    50  9204.24  90.470 32.0700  .2963 .0981
 14    .7606    65  8971.89  41.243 28.5390  .2802 .1282
 28    .6363    67  6696.50  58.258 25.4000  .2447 .3674
 22   1.1474    90  7189.67  79.101 21.5030  .2855 .2073
 16   1.3422   183  5063.49  74.430 35.5100  .0960 .2629
 15   2.2587   295  8218.40  71.940 39.2000  .1772 .1623
 27   2.0532   374  7884.94  82.458 26.3014  .2054 .1208
 30   3.1504   378  7895.43  60.277 42.4683  .0980 .1996
 35   4.5050   467  8410.34  76.300 26.8500  .2474 .1917
 38   3.7255   643  7332.13  64.506 21.1619  .2666 .2428
 45   6.6214   856  8033.72  67.680 39.5812  .1463 .2083
  4   3.0427   869  8372.96  68.227 21.0670  .1030 .2913
 36   5.5971   938  7703.26  77.197 25.4000  .1577 .2342
 32   5.8488  1025  7093.32  68.227 22.2793  .2164 .2455
 48   8.6372  1090  8507.92  39.127 33.9000  .2399 .1769
 59   7.4395  1293  6821.09  78.225 21.4305  .2031 .3297
 41   6.0065  1328  6680.77  51.817 25.2319  .1082 .2611
  5   9.4059  1412  7960.90  40.692 41.5300  .0891 .1567
 55   6.6221  1500  7588.70  82.840 21.3951  .1221 .3186
 47   8.6852  1627  7912.40  79.220 31.6801  .1105 .2071
 61   9.7843  1627  8355.75  76.140 31.3374  .1494 .2360
 31  10.3136  1886  6833.93  67.680 25.6000  .0826 .4070
168  14.2710  1901  9822.64  69.411 36.0000  .2144 .1596
 67  14.0431  2001  8611.53  74.025 30.6446  .0714 .1618
 77  18.8963  2020 10806.20  79.570 46.9000  .1797 .1594
 50  11.2419  2258  6892.61  81.096 29.1000  .0997 .2309
178  14.9529  2325  8568.23  53.890 38.9161  .1466 .1269
 58  13.6270  2437  7846.06  65.565 30.6712  .1210 .2578
 78  13.2679  2445  8764.75  76.140 28.3648  .1317 .2411
 69  16.1764  2487  8088.45  66.622 32.6186  .1371 .1973
 57  10.9660  2506  7412.36  57.240 27.4207  .1164 .2152
 44  12.7830  2632  8496.84  70.295 30.9710  .0800 .2604
 65  19.7092  2682  9484.85  81.750 50.4516  .1087 .1958
 46   9.6429  2689  6364.40  78.440 23.4889  .0829 .2105
 68  10.1902  2764  6338.00  66.232 21.1970  .1659 .2312
 25   7.5492  2969  8183.34  80.657  9.0000  .2397 .3972
 75  22.5612  3571  7297.71  78.255 41.5951  .1142 .1833
167  21.5587  3886  9538.68  63.569 30.8894  .1252 .2033
 62  20.8671  3965  8403.59  74.480 33.1992  .1162 .2151
 80  21.5454  3981  8186.05  75.082 35.2049  .1052 .2299
 89  17.4802  4148  7536.89  74.025 24.5837  .1176 .2035
 82  29.8011  4187  7996.44  74.120 47.4257  .1052 .1824
181  19.4391  4560  8558.37  76.464 23.7777  .1531 .2577
 96  30.2067  5286  7084.10  73.325 38.3384  .0884 .1969
103  24.2903  5316  9759.83  74.025 27.8380  .1894 .1740
 85  30.8773  5643 10182.50  61.040 27.8498  .1722 .2204
 95  22.4421  5648  8954.12  78.440 25.9160  .0834 .2111
179  33.9733  5708 10024.20  78.102 42.1660  .0986 .1826
 91  19.9008  5785  7969.55  71.910 22.2448  .1093 .2180
111  37.0666  6754 10177.90  77.197 25.6208  .2070 .2363
 81  35.5303  6770  7798.26  67.570 29.8250  .1108 .2814
112  25.1686  6779  7826.93  74.200 20.2790  .1427 .2662
 87  24.3565  6793  6336.88  70.295 18.5909  .1266 .3253
 76  33.0175  6837  7310.15  69.795 28.4405  .1187 .2515
110  40.5281  6891  6769.55  74.120 35.9651  .0895 .2393
 71  42.2514  7320  5879.51  92.063 39.2104  .0864 .2064
177  33.8814  7382  7512.72  72.362 25.9001  .1393 .2486
104  31.2922  7484  8063.73  67.680 23.5267  .1713 .2535
 94  27.0832  7896  7119.96  74.513 20.1100  .1196 .2484
100  32.5840  7930  7119.01  48.997 22.8380  .1209 .2772
120  52.7634  9145 10373.50  81.750 35.8083  .2027 .1997
115  41.1798  9275  8657.53  76.140 24.5804  .1047 .3284
102  47.3864  9530  7624.57  83.880 31.5825  .1266 .2106
 97  30.1678  9602  7054.18  59.977 20.2010  .0928 .2164
 92  28.7861  9660  6686.73  79.542 20.2630  .0697 .2391
132  57.7267 10004  6472.86  76.300 28.0959  .1806 .2362
123  38.8472 10057  6035.95  81.578 25.8240  .0844 .2178
105  31.9884 10149  6437.92  73.140 18.5343  .1169 .2367
166  51.7415 10361  9578.63  68.016 28.1423  .1913 .2407
114  55.1764 10855  8061.96  71.490 31.7601  .1192 .2362
125  48.1125 11114  8413.86  69.975 22.5536  .1301 .2969
139  76.2528 11667 10436.30  80.660 46.0701  .1120 .1708
169  66.1032 11837  8709.43  75.379 31.3321  .1627 .2103
118  68.4800 12542  8142.84  80.385 35.7882  .1336 .1688
126  79.0705 12706  9282.51  70.853 37.2477  .1108 .2011
113  45.1827 12936  8320.06  65.760 22.0330  .1027 .1992
106  41.9016 12954  6460.64  62.330 21.7550  .0865 .2194
129  77.8849 13702  7113.79  70.850 34.9616  .1212 .2121
119  97.3859 13846  7786.37  88.540 44.1571  .1003 .2066
117  80.3593 16311  7282.61  81.550 40.9692  .0527 .1337
176  79.6207 16508  9404.97  78.044 42.2086  .1501 .1556
135  90.7168 17280  9191.47  72.967 36.8816  .0918 .1795
109  58.1154 17875  6288.41  73.395 20.6191  .0658 .2781
174 107.9780 18455  6690.23  76.300 32.9654  .1513 .2101
140 134.2280 19445  9829.32  67.580 38.8027  .1756 .1834
171  90.3718 21956  7954.47  83.338 22.9115  .1169 .2984
170 113.2560 22522  9500.78  76.732 25.0289  .1961 .2604
127 111.8680 23217  6873.73  83.880 33.3944  .0849 .2007
142 125.3360 24001  8047.35  74.372 33.0932  .0998 .2457
137 183.2320 27118  9914.36  78.480 41.7578  .1280 .2265
130  87.1015 27708  6378.23  63.600 20.3000  .1060 .2257
144 240.5140 29613  9312.93  81.750 41.8872  .1561 .2017
143 191.5630 30958  9810.10  69.541 36.3076  .1636 .1524
141 168.3780 34212  5683.83  80.385 40.5286  .0651 .1361
138 169.2350 38343  9117.16  65.992 31.5897  .0663 .2192
175 269.7730 46870  9761.38  69.541 33.1999  .1594 .2194
172 240.4860 53918  6068.87  78.380 31.1954  .0966 .1846
