p91 p90 lr91 lr90 industry country
55 80 6.28743542 6.16 other us
67 46 5.1507364 5.14 other us
55 42 4.17270957 4.1 chemistry us
83 102 6.12753796 6.15 chemistry other
0 1 4.8666215 4.82 other other
4 11 7.6969469 7.53 other other
7 55 5.72849477 5.88 aerospace us
0 0 5.31472758 5.22 other us
0 1 5.53029987 5.56 computer us
96 67 5.98417411 5.89 chemistry us
11 11 5.85064272 5.73 other us
39 39 5.58478805 5.55 other us
2 3 5.36542522 5.39 other us
13 14 4.27433177 4.21 computer us
1 6 6.15388258 5.99 computer us
42 33 4.41750751 4.4 other us
1 1 3.8038786 3.97 other us
12 6 4.65322985 4.73 other us
310 353 7.82935875 7.81 other us
0 0 4.36657289 4.33 computer us
425 577 6.99325086 7.04 chemistry other
56 52 5.45212209 5.39 other us
355 667 7.37003253 7.32 chemistry other
34 52 4.51308322 4.46 machinery_and_instruments us
23 16 4.28883286 4.29 machinery_and_instruments us
33 46 6.66920713 6.61 motor_vehicules other
18 38 7.04199264 6.54 aerospace us
13 3 3.13910212 3.15 machinery_and_instruments us
10 4 3.74650857 3.88 machinery_and_instruments us
2 5 3.81638993 3.81 other us
851 640 6.55407978 6.46 computer japan
0 0 5.39149746 5.3 machinery_and_instruments us
24 22 5.30715632 5.21 other us
0 0 6.64740674 6.64 motor_vehicules us
35 35 4.5236467 4.41 other us
4 0 4.3542016 4.71 other us
0 0 4.65860002 4.65 other us
8 5 3.52927603 3.48 other us
2 2 4.73658069 4.68 computer us
7 9 4.378793 4.45 machinery_and_instruments us
7 25 8.39744037 8.41 motor_vehicules other
2 10 4.36040638 4.4 machinery_and_instruments us
1 9 4.41066821 4.78 computer us
55 52 5.41798187 5.4 machinery_and_instruments us
107 137 7.19386226 7.21 computer us
128 207 6.84100824 6.86 chemistry us
2 0 3.94144859 3.77 machinery_and_instruments us
367 428 6.9542753 7.09 chemistry us
555 533 7.09490776 7.02 machinery_and_instruments us
84 70 4.60597696 4.68 machinery_and_instruments us
36 36 6.45500356 6.33 other other
74 89 4.74420687 4.68 chemistry other
8 19 5.25754582 5.28 other us
22 40 4.02125013 4 chemistry us
121 137 6.30631653 6.28 other us
45 76 6.62956823 6.46 motor_vehicules other
25 29 4.68800282 4.89 chemistry us
114 103 8.43794382 8.7 motor_vehicules us
462 458 7.61176942 7.55 computer japan
1 3 4.87329173 5.69 aerospace us
99 123 8.46626515 8.41 motor_vehicules us
8 7 4.35004359 4.46 machinery_and_instruments us
39 16 4.47612543 4.38 other us
31 41 4.13855066 4.15 chemistry us
74 88 4.79899381 4.82 chemistry us
4 10 4.62988248 4.59 aerospace us
19 24 5.03271947 5.12 other us
29 32 4.54786933 4.56 other us
9 7 4.69171064 4.8 other us
0 0 4.15514325 3.95 machinery_and_instruments us
104 246 5.3527989 5.32 chemistry other
40 39 4.24120481 4.35 chemistry us
242 235 7.0739398 7.04 computer us
383 470 8.16321771 8.07 other japan
424 470 7.32305317 7.3 chemistry other
58 39 7.1178278 7.1 motor_vehicules japan
70 79 5.49180849 5.45 computer us
52 109 5.33768526 5.18 chemistry other
925 900 8.30308857 8.32 computer us
197 215 5.6314993 5.68 chemistry other
6 6 4.60436276 4.67 machinery_and_instruments us
0 1 6.21226476 6.07 other us
2 4 4.68651583 4.53 computer us
4 6 3.9160504 3.88 other us
29 27 6.67324797 6.55 other us
0 0 3.71752103 3.97 machinery_and_instruments us
1 2 3.33243508 3.47 other us
42 20 4.78829852 4.73 other us
62 47 6.42805181 6.38 other us
0 0 4.9291118 4.94 other us
2 2 5.73633795 5.94 aerospace us
1 2 4.65706862 4.53 computer us
15 19 4.16772203 4.13 chemistry us
7 15 5.75950501 5.7 other us
2 1 5.00063116 5.18 aerospace us
3 1 7.800383 7.72 other japan
1 1 3.65689641 3.59 other us
63 67 6.50392999 6.23 motor_vehicules japan
1 3 5.89494298 6.19 aerospace us
22 36 3.43635364 3.34 other us
21 19 4.27993402 4.22 other us
178 147 6.68117565 6.57 other us
12 15 3.84613841 3.94 machinery_and_instruments us
221 313 6.60352597 6.58 other us
61 99 5.54143761 5.44 other us
67 85 6.22664194 6.24 chemistry us
2 3 5.72389837 5.78 chemistry other
10 13 3.85643009 3.69 chemistry us
157 257 6.76948536 6.76 other us
15 14 3.64431763 3.56 chemistry us
75 72 5.07698815 5.35 other us
0 2 4.25160352 4.25 aerospace us
86 54 6.08184595 6.04 computer us
415 260 8.30732018 8.21 other japan
33 111 7.30955516 7.26 motor_vehicules japan
0 0 4.4077227 4.88 aerospace us
19 23 3.49926746 4.02 chemistry us
16 33 4.92997119 4.84 machinery_and_instruments japan
0 0 3.49437748 3.59 aerospace us
16 3 3.54689551 3.66 other us
1 0 4.38081525 4.44 other us
10 11 3.97383384 3.97 machinery_and_instruments us
60 76 6.41479442 6.29 other us
26 25 7.59116552 7.74 other us
240 279 4.56481889 4.66 other other
7 3 4.146243 4.11 other us
13 53 4.52189385 4.52 computer us
16 24 4.82134845 4.78 machinery_and_instruments us
41 44 5.18113948 5.21 other us
70 123 6.45265219 6.37 other us
80 91 6.66446189 6.57 motor_vehicules other
2 0 3.57668007 3.59 other us
2 0 4.08434042 4.02 other us
33 12 4.72876537 4.64 other us
38 24 5.41511346 5.41 other us
5 6 6.55368216 6.54 motor_vehicules other
63 36 6.76820235 6.78 motor_vehicules other
185 212 6.75280546 6.7 other other
40 33 5.98478368 6.01 other us
70 43 4.99518155 5 chemistry us
27 28 4.46719175 4.62 motor_vehicules other
8 3 5.70096784 5.69 motor_vehicules other
1 0 5.83989997 5.76 other us
34 41 5.79499986 5.75 other us
10 4 3.68158902 3.5 other us
2 8 3.95080903 4.02 other us
835 922 8.33493922 8.21 other other
0 0 4.09824387 4.16 machinery_and_instruments other
41 43 5.77677763 5.8 chemistry other
15 10 3.96793262 3.84 other us
4 3 4.5631368 4.41 computer us
119 138 5.92363519 5.87 chemistry japan
29 38 4.60031581 4.65 aerospace us
11 14 5.37144481 5.36 computer us
19 29 5.11412471 5.08 other japan
45 63 4.93551276 5.09 machinery_and_instruments us
11 7 3.71555832 3.7 other us
0 0 3.91282978 4.02 machinery_and_instruments us
40 51 5.30715632 5.24 other us
132 109 6.05289595 6.11 other us
29 12 5.04319077 5.12 other us
148 145 7.30862778 7.29 other other
5 1 3.49682546 3.51 machinery_and_instruments us
779 621 7.48189801 7.45 other japan
20 21 5.63213417 5.56 other us
0 2 4.04504825 3.98 chemistry other
7 11 3.70766873 3.78 other us
8 65 4.8419412 4.88 chemistry us
20 33 6.24559985 6.44 computer us
49 79 6.82447894 6.76 aerospace us
2 7 3.92883012 3.86 other us
40 38 5.98234317 5.88 other us
12 17 4.20934371 4.17 other us
18 9 7.2623414 7.22 motor_vehicules other
14 6 5.23930565 5.29 computer us
87 53 5.83354028 5.76 other us
124 165 5.12802965 5.12 other us
0 2 3.81638993 3.87 other us
5 3 4.28550507 4.32 other us
175 96 6.57691686 6.57 computer us
4 4 3.77652958 3.84 computer us
