rdi trate
0.71932 0.599247
0.953181 0.639063
1.307914 0.646186
1.864976 0.635775
0.815886 0.639976
0.761362 0.673034
0.652972 0.712302
0.876979 0.708466
1.741477 0.704996
1.190327 0.759606
0.517648 0.845813
0.235832 0.839603
0.767275 0.921974
0.637206 0.958137
0.911138 0.828097
0.602389 0.66792
0.499254 0.793577
0.524874 0.874305
0.857929 0.925079
1.112811 1.006355
0.158973 0.954485
0.429621 1.019322
0.185249 1.121054
0.569544 1.139683
1.19164 1.287075
0.269991 1.336571
0.412541 1.326525
1.345358 1.233196
0.663482 1.16434
-0.336996 0.978593
1.294119 0.705544
0.749538 0.76819
0.067662 0.92234
0.378382 0.773304
0.568887 0.627374
0.555748 0.68454
1.126606 0.774583
2.077816 0.885994
1.371635 1.030098
0.560347 1.206895
0.449329 1.531997
0.400717 1.362871
-0.969604 1.388076
-0.045984 1.51008
-0.038101 1.513368
-0.633921 1.339858
-0.462467 1.072654
3.603825 0.986447
-0.956465 1.157399
0.515677 1.038134
