yd ce
59505 57168
59717.4 55464
59039.1 56332
61342.6 55836
60544.6 54488
60324.6 53676
62120.7 54208
62249.1 56704
61856.1 54872
62070.3 58588
64244.8 59200
65451.5 59972
65269 60400
65625.2 62100
66221.2 63196
67101.6 62080
69809.8 65220
70714.2 62212
68644.1 61156
69660.4 61464
72556.4 63684
74153.8 66124
75353.8 67764
77089.2 69796
77918.8 70680
78343 71328
78300.9 71216
78995.4 72456
77061.9 72052
77282 73592
78457.6 73876
79486.5 76456
81880.4 76128
83789.2 79412
84963.1 81704
87108.9 83864
89626.2 84768
91517.3 86140
92076.4 87448
93325.1 87296
93118.4 88420
93269.7 89292
95712.8 90600
96211.4 89840
96777.7 90960
98713.9 91160
99070 93424
100335.4 95572
100827.3 96708
102557 97336
102169.4 98512
102915.3 99216
104896.4 99832
104643.9 100816
106650.4 102092
106559.4 103080
104125.4 99956
105826.8 101956
108432.6 104220
110003.6 104544
113936.7 106940
114388.5 107708
115628.8 107528
116902.7 109860
117506.3 110412
120332.7 112264
120153.8 113148
122429.7 115384
124412.3 117572
124750.5 117572
127026.9 120292
128805.1 121376
133141.6 122756
133748.9 125584
137019.2 127312
139720.2 130048
142512.2 131392
143373.3 131600
144705.2 134532
146109.8 134844
146772.5 135840
150464.3 138572
150185.9 138528
151640.8 140760
150448.4 142280
155323.3 142768
156915 145592
158460.6 147928
160792.9 151284
159488.2 150556
163144.1 152184
164654.6 154276
165829.2 152612
162454.1 153492
167685.1 156424
169535.3 157936
174154.4 157592
175649.1 163024
180979.4 166428
183541 170264
189300.6 171548
193304.7 175672
196418.8 177472
204243.6 181996
207167.2 187012
213371.2 188440
217382.8 189900
223392.4 194236
228819.2 199700
224779.3 201256
232784.7 202512
233024.7 200088
238731.4 204548
241565.5 207584
247014.3 212328
250142.3 217016
252983.4 216952
259446 223824
255486.5 225200
263228.4 230444
261105.1 230084
264296.8 228680
264354.5 232224
268321.1 233772
275039.6 235736
276962.9 238704
276875.3 240620
280757.4 241192
281301.5 245224
290890.8 245208
287004.6 246416
294106.3 247012
294546 248772
297832.7 248328
296630.8 252864
298747.5 255412
306943.6 257040
312165.4 258168
312312.8 256876
314286.6 256432
319395.5 250980
314758.3 250728
311855 250196
304723.2 249360
302439.8 253872
302710.4 256972
317634.2 261324
312185.9 263448
312089.2 267200
324138.1 269888
325388.5 270764
331381.2 275564
331899.2 278476
333844.3 281948
332679.5 287884
335886.8 291384
338675.6 292228
338714.4 295672
336283.7 300944
338852.8 301068
343951.8 303672
346179.8 308976
348980.7 312704
351556.4 316460
355789.6 318824
360264.2 323428
370116.9 325408
375081.8 329544
382897.6 332280
380608.1 336640
380867 334884
385132.5 337332
388543.1 342368
378841.8 337888
384585.1 337860
381534.1 336752
375007.3 328636
379163.8 334360
377642.9 334280
376542.2 336308
376583.5 336344
384921 336656
384765.4 338628
382044.7 338848
385102.3 340452
387173 342192
382785.7 343356
379566 345432
384796.9 350636
386014.1 351876
386136.2 352972
388264.5 356168
391548.2 355476
390850.3 357112
388239.8 359348
390576.6 359372
391381.5 363896
389502.6 364428
388282.1 366224
388804.1 371236
