rff rt1 rt3 rt10
1.34333 1.51667 2.12333 2.64667
1.5 1.85333 2.37667 2.76333
1.94 2.25 2.64 2.94667
2.35667 2.53333 2.74333 2.91
2.48333 2.56 2.78 2.9
2.69333 2.86667 3.07333 3.08333
2.81 3.07 3.31667 3.27333
2.92667 3.46667 3.57667 3.47333
2.93333 3.39 3.45 3.40333
3 3.54 3.64667 3.62667
3.23333 3.96333 4.01333 3.92667
3.25333 3.58667 3.63333 3.63333
1.86333 2.16 2.58667 3.04
0.94 1.35 2.1 2.92333
1.32333 2.38667 3 3.5
2.16333 3.19333 3.66333 3.8
2.57 3.50333 3.93333 3.99
3.08333 3.91667 4.26667 4.25667
3.57667 4.60333 4.72333 4.50333
3.99 4.91667 4.91667 4.58333
3.93333 4.57 4.67 4.48667
3.69667 3.87 4.24667 4.26
2.93667 3.07333 3.49 3.83333
2.29667 2.99333 3.51667 3.88667
2.00333 2.87333 3.4 3.78667
1.73333 2.93667 3.39667 3.79
1.68333 3.01333 3.69333 3.98
2.4 3.1 3.65 3.97333
2.45667 3.20667 3.63333 4.01667
2.60667 3.01667 3.39 3.87333
2.84667 3.18333 3.49667 3.99
2.92333 2.99667 3.36667 3.90333
2.96667 3.02667 3.4 3.89333
2.96333 3.14333 3.55 3.96333
3.33 3.52667 3.78333 4.03333
3.45333 3.73 3.94333 4.12
3.46333 3.82667 4.05333 4.18
3.49 3.86 4.06667 4.2
3.45667 3.76667 3.95667 4.19333
3.57667 3.93 4.04667 4.17333
3.97333 4.01 4.08 4.20333
4.07667 4.02 4.10333 4.20667
4.07333 4.08333 4.16333 4.24667
4.16667 4.46333 4.52333 4.47333
4.55667 4.93 4.96333 4.77
4.91333 4.93333 4.98 4.78
5.41 5.51 5.57667 5.14
5.56333 5.44 5.4 5.00333
4.82333 4.60333 4.65 4.58333
3.99 4.24667 4.62667 4.82
3.89333 5.12667 5.23333 5.24667
4.17333 5.56333 5.64667 5.64333
4.78667 5.47333 5.64667 5.61
5.98 5.94333 5.89333 5.74333
5.94333 5.51 5.45 5.46
5.91667 5.83667 5.75 5.77
6.56667 6.36333 6.30667 6.17667
8.32667 6.57333 6.53 6.35333
8.98333 7.65333 7.45667 6.85667
8.94 7.9 7.77333 7.29667
8.57333 7.55333 7.72667 7.36667
7.88 7.45333 7.72333 7.71333
6.70333 6.93667 7.37667 7.46
5.56667 5.64667 6.32 6.85333
3.85667 4.05 5.06 6.01667
4.56333 4.99333 5.83667 6.24667
5.47333 5.75 6.32667 6.48333
4.75 4.72667 5.39333 5.89
3.54 4.40667 5.31667 6.03333
4.3 4.84333 5.69 6.14333
4.74 5.15333 5.87667 6.29
5.14333 5.43667 6 6.37333
6.53667 6.31 6.57 6.60333
7.81667 7.01667 6.81667 6.80667
10.56 8.50667 7.56 7.20667
9.99667 7.41333 6.87333 6.75333
9.32333 7.35333 7.02333 7.05333
11.25 8.69 8.15667 7.54333
12.09 9.01 8.49333 7.96333
9.34667 7.67333 7.61667 7.67
6.30333 6.30667 6.89667 7.54
5.42 6.52667 7.44 8.05
6.16 7.52 8.05667 8.29667
5.41333 6.68 7.56667 8.06333
4.82667 5.97667 7.06 7.75333
5.19667 6.28 7.14 7.77333
5.28333 6.01333 6.88 7.73
4.87333 5.22667 6.00333 7.19
4.66 5.42 6.37667 7.35333
5.15667 5.69333 6.41667 7.37
5.82 6.28 6.71333 7.35667
6.51333 6.96 7.23667 7.59667
6.75667 7.31 7.66 8.01
7.28333 7.78667 8.07333 8.32
8.1 8.44667 8.42667 8.49
9.58333 9.81667 8.99667 8.82
10.07333 10.3 9.39 9.10667
10.18 9.93667 9.26667 9.11333
10.94667 10.15333 9.25667 9.10333
13.57667 12.27 10.94667 10.44667
15.04667 13.93333 12.59 11.98667
12.68667 10.28333 10.12333 10.47667
9.83667 10.13667 10.49 10.95333
15.85333 13.84 12.99 12.42333
16.57 14.12 13.39 12.96
17.78 15.12667 14.48667 13.75
17.57667 16.32 15.79 14.84667
13.58667 13.54667 14.09 14.08667
14.22667 14.33333 14.5 14.29333
14.51333 13.79667 14.14333 13.93
11.00667 11.84 12.88333 13.11667
9.28667 9.13 10.16 10.66667
8.65333 8.86 9.79667 10.56333
8.80333 9.18 9.91333 10.54333
9.46 10.29667 11.09 11.62667
9.43 9.95333 10.98667 11.68667
9.68667 10.17667 11.19 11.94333
10.55667 11.54667 12.63667 13.2
11.39 11.81 12.64 12.86667
9.26667 10.01667 11.10333 11.74333
8.47667 9.39 10.67667 11.58333
7.92333 8.46667 9.76333 10.81333
7.9 7.99333 9.28667 10.33667
8.10333 7.85333 8.84333 9.76
7.82667 7.45667 7.93667 8.55667
