m infl cpr y tbr
1.95137866929827 6.35459784919523 7.41505469297157 2.036667 1.083667
0.905918988334342 6.35366235776394 7.41360856112157 1.633333 0.814333
0.359655940662229 6.3626228007244 7.42517908677635 1.363333 0.869667
3.85844546179968 6.36380349660839 7.43738302971072 1.31 1.036333
3.09707311625527 6.3676166660348 7.46307614263468 1.613333 1.256333
4.69575828239535 6.36151062804635 7.4722733169449 1.966667 1.514333
3.76945015869659 6.35657456853841 7.48335689568704 2.326667 1.861333
2.59972018523058 6.3523052458293 7.49214729970504 2.833333 2.349333
3.84699570494664 6.34674672921902 7.48829351515943 3 2.379333
2.66790927253702 6.34189831847188 7.49470826313568 3.263333 2.596667
3.59683290280994 6.33333902418697 7.49676341980094 3.35 2.596667
2.67376166988402 6.33111078836289 7.51021159425758 3.63 3.063667
5.48413776594021 6.31966532536304 7.51556241237507 3.63 3.171667
1.87418049844474 6.31531277490524 7.51469076272302 3.683333 3.157
2.92599053598685 6.30796042705723 7.52358935643941 3.953333 3.382333
0.156360863582172 6.30278186979235 7.51234443256029 3.993333 3.343333
2.27971063391053 6.29557994735918 7.49002676319615 2.816667 1.838
0.60371346031527 6.30535595079393 7.49798340553424 1.716667 1.017667
3.74846975405276 6.30649543992378 7.51800986145252 2.13 1.710667
2.74020896906126 6.31243857928272 7.53950566467676 3.213333 2.787667
4.30312396935353 6.3080026193156 7.55218479274465 3.303333 2.800333
3.58351515260083 6.30761939615693 7.5691537612275 3.603333 3.019333
1.54681580556630 6.31084290870177 7.56568970378634 4.193333 3.533
0.997237996634581 6.29959754257271 7.57142215421957 4.76 4.299333
3.50103228702903 6.28798985641816 7.5892852402019 4.686667 3.943
0.196590147890774 6.28535168970527 7.58665139377222 4.073333 3.092333
1.84974402567288 6.28999655821745 7.58766523276006 3.373333 2.390333
-1.33462232623671 6.29285985089066 7.5812608192868 3.27 2.360667
0.0422488947664945 6.29771233113738 7.58953812946303 3.013333 2.376667
2.55607398596425 6.29859661682942 7.60389796852188 2.86 2.324667
2.27618110892127 6.2987343633198 7.6183493731458 2.896667 2.324667
1.46645837085870 6.30409292286457 7.63843906307081 3.056667 2.475
3.70147001604444 6.30126865918745 7.65150051230517 3.243333 2.739
1.16134006075157 6.3049810534877 7.66185643887908 3.203333 2.716
