q k A
0.623 2.06 1
0.616 2.1 0.983
0.647 2.17 1.021
0.652 2.21 1.023
0.68 2.23 1.064
0.682 2.2 1.071
0.669 2.26 1.041
0.7 2.34 1.076
0.679 2.21 1.065
0.729 2.22 1.142
0.767 2.47 1.157
0.721 2.58 1.069
0.77 2.55 1.146
0.788 2.49 1.183
0.809 2.61 1.196
0.836 2.74 1.215
0.872 2.81 1.254
0.869 2.87 1.241
0.871 2.93 1.235
0.874 3.02 1.226
0.895 3.06 1.251
0.88 3.3 1.197
0.904 3.33 1.226
0.879 3.28 1.198
0.869 3.1 1.211
0.921 3 1.298
0.943 2.87 1.349
0.982 2.72 1.429
0.971 2.71 1.415
1 2.78 1.445
1.034 2.66 1.514
1.082 2.63 1.59
1.122 2.58 1.66
1.136 2.64 1.665
1.18 2.62 1.692
1.265 2.63 1.812
1.296 2.66 1.85
1.215 2.5 1.769
1.194 2.5 1.739
1.221 2.55 1.767
1.275 2.7 1.809
