rff rt1 rt3 rt10
1.39 1.39 1.99 2.61
1.29 1.57 2.12 2.65
1.35 1.59 2.26 2.68
1.43 1.75 2.37 2.75
1.43 1.9 2.37 2.76
1.64 1.91 2.39 2.78
1.68 2.02 2.51 2.9
1.96 2.37 2.72 2.97
2.18 2.36 2.69 2.97
2.24 2.39 2.62 2.88
2.35 2.48 2.73 2.89
2.48 2.73 2.88 2.96
2.45 2.58 2.78 2.9
2.5 2.49 2.67 2.84
2.5 2.61 2.89 2.96
2.62 2.92 3.19 3.18
2.75 2.94 3.08 3.07
2.71 2.74 2.95 3
2.75 2.76 3.06 3.11
2.73 3.1 3.39 3.33
2.95 3.35 3.5 3.38
2.96 3.28 3.4 3.34
2.88 3.44 3.57 3.49
2.94 3.68 3.76 3.59
2.84 3.37 3.46 3.46
3 3.38 3.42 3.34
2.96 3.42 3.47 3.41
3 3.49 3.53 3.48
3 3.48 3.61 3.6
3 3.65 3.8 3.8
2.99 3.81 3.96 3.93
3.24 4.01 4.02 3.93
3.47 4.07 4.06 3.92
3.5 4.01 4.09 3.97
3.28 3.57 3.7 3.72
2.98 3.18 3.11 3.21
2.72 2.65 2.78 3.09
1.67 1.99 2.58 3.05
1.2 1.84 2.4 2.98
1.26 1.45 2.15 2.88
0.63 1.37 2.07 2.92
0.93 1.23 2.08 2.97
0.68 1.61 2.42 3.2
1.53 2.5 3.06 3.54
1.76 3.05 3.52 3.76
1.8 3.19 3.67 3.8
2.27 3.1 3.6 3.74
2.42 3.29 3.72 3.86
2.48 3.36 3.91 4.02
2.43 3.54 3.92 3.96
2.8 3.61 3.97 3.99
2.96 3.72 4.03 4.12
2.9 3.96 4.25 4.31
3.39 4.07 4.52 4.34
3.47 4.39 4.6 4.4
3.5 4.42 4.6 4.43
3.76 5 4.97 4.68
3.98 4.8 4.78 4.53
4 4.81 4.85 4.53
3.99 5.14 5.12 4.69
3.99 5.03 4.99 4.72
3.97 4.66 4.73 4.49
3.84 4.02 4.29 4.25
3.92 4.04 4.27 4.28
3.85 4.21 4.46 4.35
3.32 3.36 4.01 4.15
3.23 3.2 3.63 3.9
2.98 2.95 3.41 3.8
2.6 3.07 3.43 3.8
2.47 3.04 3.53 3.89
2.44 3.08 3.6 3.93
1.98 2.86 3.42 3.84
1.45 2.81 3.39 3.84
2.54 2.93 3.46 3.78
2.02 2.88 3.35 3.74
1.49 2.88 3.33 3.78
1.98 2.87 3.23 3.71
1.73 3.06 3.63 3.88
1.17 2.92 3.59 3.92
2 3.06 3.76 4.04
1.88 3.06 3.73 3.98
2.26 3.05 3.62 3.92
2.61 3.07 3.61 3.94
2.33 3.18 3.72 4.06
2.15 3.28 3.76 4.08
2.37 3.28 3.69 4.04
2.85 3.06 3.45 3.93
2.78 2.99 3.38 3.84
2.36 3.03 3.4 3.87
2.68 3.03 3.39 3.91
2.71 3.29 3.62 4.01
2.93 3.2 3.46 3.98
2.9 3.06 3.41 3.98
2.9 2.98 3.33 3.93
2.94 3 3.4 3.92
2.93 3.01 3.37 3.86
2.92 3.04 3.4 3.83
3 3.01 3.39 3.92
2.98 3.03 3.41 3.93
2.9 3.11 3.5 3.97
3 3.12 3.54 3.93
2.99 3.2 3.61 3.99
3.02 3.48 3.76 4.02
3.49 3.53 3.77 4
3.48 3.57 3.82 4.08
3.5 3.64 3.87 4.11
3.48 3.74 3.95 4.12
3.38 3.81 4.01 4.13
3.48 3.79 4.04 4.17
3.48 3.78 4 4.15
3.43 3.91 4.12 4.22
3.47 3.91 4.15 4.23
3.5 3.84 4.04 4.2
3.5 3.83 4.01 4.17
3.42 3.72 3.93 4.19
3.5 3.74 3.93 4.19
3.45 3.84 4.01 4.2
3.36 3.86 4.02 4.19
3.52 3.91 4.04 4.15
3.85 4.02 4.08 4.18
3.9 3.94 4.03 4.19
3.98 4.03 4.08 4.21
4.04 4.06 4.13 4.21
4.09 4.04 4.12 4.2
4.1 4.03 4.11 4.21
4.04 3.99 4.08 4.21
4.09 3.98 4.09 4.2
4.12 4.07 4.16 4.25
4.01 4.2 4.24 4.29
4.08 4.3 4.33 4.35
4.1 4.37 4.45 4.45
4.32 4.72 4.79 4.62
4.42 4.88 4.9 4.61
4.6 4.94 5.02 4.83
4.65 4.97 4.97 4.87
4.67 4.9 4.89 4.75
4.9 4.93 5 4.78
5.17 4.97 5.05 4.81
5.3 5.17 5.26 5.02
5.53 5.54 5.68 5.22
5.4 5.82 5.79 5.18
5.53 5.58 5.48 5.01
5.76 5.54 5.53 5.16
5.4 5.2 5.19 4.84
4.94 4.75 4.75 4.58
5 4.71 4.73 4.63
4.53 4.35 4.47 4.54
4.05 4.11 4.38 4.59
3.94 4.15 4.61 4.85
3.98 4.48 4.89 5.02
3.79 5.01 5.06 5.16
3.9 5.13 5.23 5.28
3.99 5.24 5.41 5.3
3.88 5.37 5.52 5.48
4.13 5.61 5.71 5.75
4.51 5.71 5.71 5.7
4.6 5.43 5.53 5.53
4.71 5.41 5.61 5.56
