s uswpi ukwpi
4.5802 85.6 110.6
4.4925 93.7 108.7
4.5353 102.7 119.2
4.7765 108.8 121.5
4.573 131.9 141.7
4.3114 147 143.2
4.4625 131.9 130.9
4.4142 122.9 133.1
4.1563 126.9 153.7
4.5746 129.9 186.2
4.4067 143.1 192
4.5111 117.9 150.7
4.5673 118.8 152.4
4.5785 127.1 153.3
4.3732 142.2 167.9
4.4589 135.1 165.9
4.4516 131 161.8
4.6531 116 178.2
4.6008 131 191.1
4.3244 131.9 189.2
3.8389 127.1 179.3
3.6374 131.9 201.8
3.7717 162.7 208.3
4.2647 183.5 189.5
4.7237 171.3 160.2
5.2544 152.1 146.2
4.6289 152.1 162.7
4.5261 148.2 171
4.5393 125.9 158
4.5484 106.9 142.4
4.8491 106.9 122.9
5.0071 106.9 108.4
4.828 103.7 120.3
4.878 98.9 125.7
4.84 103.7 139.4
4.9309 99.7 123.3
4.9468 98.9 122.5
4.9395 97.7 118.8
4.8772 96.8 118.2
4.786 91.7 116.6
4.8629 94.5 117.5
4.8697 95.7 112.8
4.8169 95.7 109.2
4.6033 90.6 106.6
4.862 100.9 104.2
4.8294 114.9 117.4
4.9717 116 116.3
4.88 110.8 120.7
4.8946 112.8 128.7
4.8198 95.7 126.4
4.8925 92.6 120.4
4.7834 82.6 109.5
4.7997 75.5 98.3
4.8716 77.5 100
4.8834 83.7 102.7
4.8278 83.7 106.1
4.8054 90.6 119.4
4.8806 82.6 100.9
4.826 82.6 91.1
4.8868 84.6 90.6
4.9292 83.7 88.2
4.9142 88.6 91.8
4.8998 97.7 111.8
4.8948 108.9 120.1
4.8974 110.8 118.8
4.9184 105.7 118.8
4.9007 111.9 123.5
4.8663 93.8 107.1
4.9157 97 110.6
4.8657 93.8 116.6
4.7896 89.7 115.3
5.0848 104.8 118.8
6.8131 133.9 121.2
7.5752 194.5 123.5
7.5762 186.3 118.8
6.1759 175.2 120.1
6.2329 163.3 117.7
6.37 159.2 116.6
6.2033 152.1 115.3
5.4554 136 113
5.3147 131 117.7
5.2704 137 128.3
5.4762 133.9 130.6
5.3475 127.1 120.1
5.4331 118.8 113
5.3696 110.8 111.8
5.0776 106.9 110.6
4.9183 91.7 102.4
4.8692 90.6 97.7
4.8602 100.9 103.5
4.8451 103.7 100
4.8855 108.9 98.9
4.8647 101.7 96.5
4.8694 93.8 89.5
4.8716 85.8 84.7
4.8771 82.6 81.2
4.8675 85.8 80
4.886 86.7 82.4
4.8844 81.4 84.7
4.8711 82.6 84.7
4.8717 82.1 84.7
4.8838 76.6 80
4.8745 78.7 80
4.8875 70.4 74.1
4.899 71.8 72.9
4.883 68.4 71.8
4.8734 68.4 72.9
4.859 71.3 75.3
4.8733 76.6 80
4.8717 82.3 88.2
4.8786 81.2 82.4
4.8764 86.7 81.2
4.8682 87.8 84.6
4.8717 87.8 82.4
4.8663 88.3 84.7
4.8573 90.9 90.6
4.8667 95.7 94.2
4.8684 92.6 86
4.876 99.5 87.1
4.8676 103.4 91.8
4.866 95.4 94.2
4.8701 101.7 100
4.8689 102.5 100
4.9296 100 100
4.757 102.3 127.1
4.766 125.7 160
4.7644 172.7 210.6
4.7651 193.1 225.9
4.4258 203.7 242.5
3.6643 227.1 295.4
3.849 143.6 182.4
4.4292 142.2 154.2
4.5748 147.9 151.8
4.4171 144.2 163.6
4.8289 152.1 160
4.8582 147 148.3
4.861 140.4 143.6
4.8662 142.4 141.2
4.8569 139.9 135.4
4.8621 127.1 114.2
4.535 107.1 97.7
3.5061 95.7 94.2
4.2368 96.8 92.9
5.0393 109.9 96.5
4.9018 117.7 98.9
4.9709 118.8 104.8
4.944 126.8 120.1
4.8894 115.4 107.1
4.4354 113.3 108.6
3.83 115.4 144.2
4.0318 128.5 161.1
4.035 145 168.3
4.035 152.7 171.9
4.035 152.7 175.5
4.0302 155.5 178.5
4.0328 177.5 184.9
4.0286 217.9 202.5
4.0313 236 231.5
3.6872 224.3 243.9
2.8007 233 278.8
2.7996 259.6 326.1
2.7926 252.5 333.6
2.8127 249 326.1
2.8087 249.6 326.1
2.7913 250.2 336
2.7957 258.4 348.5
2.7932 265.8 360.9
2.8098 269.5 363.4
2.8088 270.1 363.4
2.8076 270.1 368.4
2.8022 269.5 378.4
2.8078 270.1 388.3
2.8 269.3 390.8
2.7921 269.8 403.3
2.7959 275.2 418.2
2.793 284.4 430.6
2.7504 284.9 435.6
2.3935 292 450.6
2.3901 303.4 470.5
2.3959 314.5 500.3
2.442 324.5 545.1
2.5008 339.3 575
2.451 383.7 617.3
2.3403 456.2 761.7
2.2216 498.3 936
1.8062 521.2 1087.8
1.7455 552.9 1284.5
1.9195 595.9 1411.4
2.1178 670.6 1565.7
2.324 765.6 1784.8
2.0095 835 1956.5
1.7469 851.7 2105.9
1.5158 862.3 2220.4
1.3301 883.3 2357.3
1.2833 879 2489.2
1.467 853.5 2601.3
1.6389 876.3 2698.3
1.7814 911.5 2817.8
1.6397 956.3 2962.2
1.7841 990.6 3064.3
